trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.030612010636196067,0.02230948571009693,0.030612010636196067,12.734596424657564,9.280746055400323,12.734596424657564,"[0.01446462560829296, 0.010861238964318096, 0.026228937020541666]","[0.0, 0.0, 0.02230948571009693]","[0.01446462560829296, 0.010861238964318096, 0.026228937020541666]","[6.017284253049871, 4.518275409156328, 10.911237800545333]","[0.0, 0.0, 9.280746055400323]","[6.017284253049871, 4.518275409156328, 10.911237800545333]"
2,5,2,0.022776900255032123,0.025246027218509284,0.022776900255032123,9.45241360583833,10.477101295681353,9.45241360583833,"[0.04343391603432012, 0.012557903443891452, 0.01651696766578917]","[0.0, 0.0, 0.025246027218509284]","[0.04343391603432012, 0.012557903443891452, 0.01651696766578917]","[18.02507515424285, 5.211529929214953, 6.854541581302506]","[0.0, 0.0, 10.477101295681353]","[18.02507515424285, 5.211529929214953, 6.854541581302506]"
3,5,3,0.019175555139717297,0.022818064630025035,0.019175555139717297,7.957855382982679,9.469496821460389,7.957855382982679,"[0.022493459493595856, 0.013224422029359344, 0.010980824993146215]","[0.0, 0.0, 0.022818064630025035]","[0.022493459493595856, 0.013224422029359344, 0.010980824993146215]","[9.33478568984228, 5.488135142184128, 4.557042372155679]","[0.0, 0.0, 9.469496821460389]","[9.33478568984228, 5.488135142184128, 4.557042372155679]"
4,5,4,0.016318226198981354,0.024430745429344737,0.016318226198981354,6.7883820987762435,10.16319009860741,6.7883820987762435,"[0.01757380330157047, 0.009481173585949016, 0.011818673472401262]","[0.0, 0.0, 0.024430745429344737]","[0.01757380330157047, 0.009481173585949016, 0.011818673472401262]","[7.310702173453315, 3.9441682117547905, 4.916568164518925]","[0.0, 0.0, 10.16319009860741]","[7.310702173453315, 3.9441682117547905, 4.916568164518925]"
5,5,5,0.014483306188313248,0.022981845269484304,0.014483306188313248,6.0250553743383115,9.56044763210547,6.0250553743383115,"[0.008624308764525952, 0.010034937146373445, 0.008787897910564346]","[0.0, 0.0, 0.022981845269484304]","[0.008624308764525952, 0.010034937146373445, 0.008787897910564346]","[3.587712446042796, 4.174533852891353, 3.655765530794768]","[0.0, 0.0, 9.56044763210547]","[3.587712446042796, 4.174533852891353, 3.655765530794768]"
6,3,1,0.026504200340038087,0.02230948571009693,0.01647957786079273,11.025747341455844,9.280746055400323,6.855504390089776,"[0.04964266946286068, 0.011928335956076196, 0.021714162760019542]","[0.0, 0.0, 0.02230948571009693]","[0.02978560167771643, 0.007157001573645723, 0.013671604518613573]","[20.651350496550045, 4.962187757727698, 9.03309170816813]","[0.0, 0.0, 9.280746055400323]","[12.390810297930035, 2.9773126546366204, 5.687387479743246]"
7,3,2,0.02074690027606467,0.025249762842388262,0.014429289093945004,8.630710514842903,10.503901342433517,6.002584263081122,"[0.0037745572920422524, 0.012026070449893622, 0.014001405926852988]","[0.0, 0.0, 0.025249762842388262]","[0.002264734375225344, 0.007215642269936164, 0.010880199955039358]","[1.570215833489577, 5.002845307155747, 5.824584865570843]","[0.0, 0.0, 10.503901342433517]","[0.942129500093743, 3.001707184293444, 4.526163181296373]"
8,3,3,0.020840726239390893,0.022774016811153555,0.013438204396066293,8.669742115586612,9.473990993439878,5.590293028763578,"[0.04201181648765276, 0.011327968722943057, 0.01453243453795839]","[0.0, 0.0, 0.022774016811153555]","[0.025207089892591652, 0.006796781233765822, 0.009839881476642134]","[17.476915658863547, 4.712434988744311, 6.04549276779069]","[0.0, 0.0, 9.473990993439878]","[10.486149395318128, 2.8274609932465817, 4.093390694283127]"
9,3,4,0.01843407580099655,0.024476038639773837,0.013359529436183832,7.650141457413569,10.157556035506142,5.54420471601629,"[0.025439147597296635, 0.010337101419653692, 0.012508816340856132]","[0.0, 0.0, 0.024476038639773837]","[0.015263488558377988, 0.006202260851792218, 0.00975824381187041]","[10.557246252878103, 4.289897089156282, 5.191158781455295]","[0.0, 0.0, 10.157556035506142]","[6.334347751726865, 2.5739382534937705, 4.04967118192622]"
10,3,5,0.02080100138806608,0.022981845269484304,0.013747676358026198,8.653216577435488,9.56044763210547,5.719033364938898,"[0.025429201358545928, 0.012879571007554314, 0.014719824352653546]","[0.0, 0.0, 0.022981845269484304]","[0.015257520815127535, 0.007727742604532588, 0.009942442513320004]","[10.578547765155106, 5.357901539142595, 6.123446930703875]","[0.0, 0.0, 9.56044763210547]","[6.3471286590930545, 3.214740923485557, 4.136056085541122]"
11,5,5,0.018194774324086702,0.02298376226200014,0.018194774324086702,7.550831344495982,9.53826133873006,7.550831344495982,"[0.015976057302335644, 0.0077342764461321, 0.013910988934066674]","[0.0, 0.0, 0.02298376226200014]","[0.015976057302335644, 0.0077342764461321, 0.013910988934066674]","[6.630063780469293, 3.2097247251448215, 5.7730604076376695]","[0.0, 0.0, 9.53826133873006]","[6.630063780469293, 3.2097247251448215, 5.7730604076376695]"
12,5,4,0.013839918306531585,0.024430745429344737,0.013839918306531585,5.757406015517139,10.16319009860741,5.757406015517139,"[0.024542972117723598, 0.008635199046828745, 0.008883780124847977]","[0.0, 0.0, 0.024430745429344737]","[0.024542972117723598, 0.008635199046828745, 0.008883780124847977]","[10.209876400973016, 3.592242803480758, 3.695652531936758]","[0.0, 0.0, 10.16319009860741]","[10.209876400973016, 3.592242803480758, 3.695652531936758]"
13,5,1,0.01926184735680223,0.02230948571009693,0.01926184735680223,8.012928500429727,9.280746055400323,8.012928500429727,"[0.009983671702358386, 0.013305576857711766, 0.012023795291565182]","[0.0, 0.0, 0.02230948571009693]","[0.009983671702358386, 0.013305576857711766, 0.012023795291565182]","[4.153207428181089, 5.535119972808094, 5.001898841291116]","[0.0, 0.0, 9.280746055400323]","[4.153207428181089, 5.535119972808094, 5.001898841291116]"
14,5,3,0.01176034443804033,0.022774016811153555,0.01176034443804033,4.892303286224777,9.473990993439878,4.892303286224777,"[0.013977900702211075, 0.006620694821986456, 0.007953231406430623]","[0.0, 0.0, 0.022774016811153555]","[0.013977900702211075, 0.006620694821986456, 0.007953231406430623]","[5.814806692119808, 2.7542090459463657, 3.308544265075139]","[0.0, 0.0, 9.473990993439878]","[5.814806692119808, 2.7542090459463657, 3.308544265075139]"
15,5,2,0.01661500062552455,0.025246027218509284,0.01661500062552455,6.895225259592689,10.477101295681353,6.895225259592689,"[0.022118536118868225, 0.010517972557398631, 0.010558581110474714]","[0.0, 0.0, 0.025246027218509284]","[0.022118536118868225, 0.010517972557398631, 0.010558581110474714]","[9.179192489330314, 4.364958611320432, 4.381811160847006]","[0.0, 0.0, 10.477101295681353]","[9.179192489330314, 4.364958611320432, 4.381811160847006]"
16,4,2,0.014366341662053321,0.025246027218509284,0.011286039390744036,5.962031789752128,10.477101295681353,4.6837063471587745,"[0.01653864489871539, 0.007860604466744053, 0.010638674003630692]","[0.0, 0.0, 0.025246027218509284]","[0.013230915918972307, 0.006288483573395241, 0.00821694605999902]","[6.863537632966887, 3.262150853698782, 4.415049711506737]","[0.0, 0.0, 10.477101295681353]","[5.490830106373507, 2.609720682959025, 3.4100326148995936]"
