trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.02253735860339063,0.02230948571009693,0.02253735860339063,9.375541179010503,9.280746055400323,9.375541179010503,"[0.03478160448986717, 0.007571758429756984, 0.019187821836921297]","[0.0, 0.0, 0.02230948571009693]","[0.03478160448986717, 0.007571758429756984, 0.019187821836921297]","[14.469147467784742, 3.1498515067789055, 7.98213388415926]","[0.0, 0.0, 9.280746055400323]","[14.469147467784742, 3.1498515067789055, 7.98213388415926]"
2,5,2,0.026503544835269437,0.02529368417617253,0.026503544835269437,10.998971106636816,10.496878933111601,10.998971106636816,"[0.02701992997641389, 0.014534317648895189, 0.020651921434922497]","[0.0, 0.0, 0.02529368417617253]","[0.02701992997641389, 0.014534317648895189, 0.020651921434922497]","[11.213270940211764, 6.031741824291504, 8.570547395492836]","[0.0, 0.0, 10.496878933111601]","[11.213270940211764, 6.031741824291504, 8.570547395492836]"
3,5,3,0.01899936063559777,0.0228285870338594,0.01899936063559777,7.884734663773074,9.47386361905165,7.884734663773074,"[0.018889667261508307, 0.011963820196881773, 0.012959603232435656]","[0.0, 0.0, 0.0228285870338594]","[0.018889667261508307, 0.011963820196881773, 0.012959603232435656]","[7.839211913525947, 4.964985381705936, 5.3782353414607975]","[0.0, 0.0, 9.47386361905165]","[7.839211913525947, 4.964985381705936, 5.3782353414607975]"
4,5,4,0.04306874001301824,0.024476515649908395,0.04306874001301824,17.87352710540257,10.157753994711983,17.87352710540257,"[0.06985914507464107, 0.025816995400920008, 0.03018839063348007]","[0.0, 0.0, 0.024476515649908395]","[0.06985914507464107, 0.025816995400920008, 0.03018839063348007]","[28.991545205976045, 10.714053091381803, 12.528182112894228]","[0.0, 0.0, 10.157753994711983]","[28.991545205976045, 10.714053091381803, 12.528182112894228]"
5,5,5,0.02784348756194671,0.023030201832728067,0.02784348756194671,11.555047338207885,9.557533760582148,11.555047338207885,"[0.039040445128132206, 0.01715834873368881, 0.020121979877493593]","[0.0, 0.0, 0.023030201832728067]","[0.039040445128132206, 0.01715834873368881, 0.020121979877493593]","[16.201784728174864, 7.120714724480857, 8.35062164915984]","[0.0, 0.0, 9.557533760582148]","[16.201784728174864, 7.120714724480857, 8.35062164915984]"
6,3,3,0.015807201181648543,0.022774016811153555,0.014742724595267395,6.575795691565793,9.473990993439878,6.132973431631236,"[0.04405308806349581, 0.006122364057399624, 0.013032415791966578]","[0.0, 0.0, 0.022774016811153555]","[0.02643185283809749, 0.0036734184344397753, 0.01360399341329072]","[18.326084634414258, 2.5469034478782437, 5.421484969458096]","[0.0, 0.0, 9.473990993439878]","[10.995650780648555, 1.5281420687269465, 5.65926125992894]"
7,3,4,0.022427874213114908,0.024430745429344737,0.015526810189058344,9.329995672655802,10.16319009860741,6.459153038648271,"[0.011782471137841923, 0.01097732437082948, 0.017086292965102823]","[0.0, 0.0, 0.024430745429344737]","[0.007069482682705162, 0.006586394622497688, 0.01236470155285683]","[4.90150799334224, 4.566566938265064, 7.1078978734827745]","[0.0, 0.0, 10.16319009860741]","[2.940904796005347, 2.739940162959038, 5.143715845988441]"
8,3,1,0.02064499167066678,0.02230948571009693,0.011427086703494628,8.58831653499738,9.280746055400323,4.753668068653766,"[0.05366622858477642, 0.009248719652410219, 0.01678354266944808]","[0.0, 0.0, 0.02230948571009693]","[0.03219973715086587, 0.005549231791446139, 0.008948542049512533]","[22.32515109126699, 3.8474673754026507, 6.9819537504904]","[0.0, 0.0, 9.280746055400323]","[13.395090654760201, 2.308480425241594, 3.722593492597214]"
9,3,5,0.017113287808361268,0.023032240258953472,0.012249525872433357,7.084901152661565,9.535347467206737,5.07130371118741,"[0.027500323797808687, 0.008104150841592188, 0.013180315412894045]","[0.0, 0.0, 0.023032240258953472]","[0.016500194278685217, 0.004862490504955314, 0.00994174745606535]","[11.385134052292797, 3.355118448419166, 5.456650580938135]","[0.0, 0.0, 9.535347467206737]","[6.83108043137568, 2.0130710690515, 4.115883446811055]"
10,3,2,0.025936964657246656,0.025249762842388262,0.018231980349534018,10.78977729741461,10.503901342433517,7.584503825406152,"[0.032276114546447514, 0.014172746546193497, 0.019812517912235855]","[0.0, 0.0, 0.025249762842388262]","[0.019365668727868515, 0.008503647927716105, 0.014883447933873428]","[13.426863651322165, 5.895862563216495, 8.242007451490116]","[0.0, 0.0, 10.503901342433517]","[8.056118190793303, 3.5375175379299, 6.191514340491346]"
