trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.048895370270452515,0.02233690450840456,0.048895370270452515,20.291578662237793,9.269815370987892,20.291578662237793,"[0.046108960022867115, 0.02990625067270552, 0.03566010514717822]","[0.0, 0.0, 0.02233690450840456]","[0.046108960022867115, 0.02990625067270552, 0.03566010514717822]","[19.135218409489852, 12.41109402917279, 14.798943636078961]","[0.0, 0.0, 9.269815370987892]","[19.135218409489852, 12.41109402917279, 14.798943636078961]"
2,5,2,0.016918031181410987,0.025249762842388262,0.016918031181410987,7.0379009714669705,10.503901342433517,7.0379009714669705,"[0.022035178081585612, 0.007345715553868427, 0.013208527525167798]","[0.0, 0.0, 0.025249762842388262]","[0.022035178081585612, 0.007345715553868427, 0.013208527525167798]","[9.166634081939614, 3.0558176704092657, 5.494747450469804]","[0.0, 0.0, 10.503901342433517]","[9.166634081939614, 3.0558176704092657, 5.494747450469804]"
3,5,3,0.02165689661957784,0.022774016811153555,0.02165689661957784,9.009268993744382,9.473990993439878,9.009268993744382,"[0.03441091466250708, 0.009940031045827634, 0.017501302926897853]","[0.0, 0.0, 0.022774016811153555]","[0.03441091466250708, 0.009940031045827634, 0.017501302926897853]","[14.314940499602946, 4.135052915064295, 7.280542017589507]","[0.0, 0.0, 9.473990993439878]","[14.314940499602946, 4.135052915064295, 7.280542017589507]"
4,5,4,0.019976214866507244,0.024430745429344737,0.019976214866507244,8.310105384467013,10.16319009860741,8.310105384467013,"[0.051689424136972084, 0.012497257878304023, 0.013497883539158687]","[0.0, 0.0, 0.024430745429344737]","[0.051689424136972084, 0.012497257878304023, 0.013497883539158687]","[21.502800440980387, 5.198859277374473, 5.615119552290014]","[0.0, 0.0, 10.16319009860741]","[21.502800440980387, 5.198859277374473, 5.615119552290014]"
5,5,5,0.04805647138585174,0.022981845269484304,0.04805647138585174,19.991492096514325,9.56044763210547,19.991492096514325,"[0.10933914714196294, 0.033065544200455974, 0.028247726371934824]","[0.0, 0.0, 0.022981845269484304]","[0.10933914714196294, 0.033065544200455974, 0.028247726371934824]","[45.485085211056585, 13.755266387389685, 11.751054170724887]","[0.0, 0.0, 9.56044763210547]","[45.485085211056585, 13.755266387389685, 11.751054170724887]"
6,3,5,0.028453461741697626,0.022981845269484304,0.018026737055625523,11.836640084546213,9.56044763210547,7.499122615140217,"[0.01311518117184556, 0.01615267140276644, 0.021309501229624304]","[0.0, 0.0, 0.022981845269484304]","[0.007869108703107332, 0.009691602841659864, 0.01377107608681455]","[5.455915367487753, 6.7195113035508385, 8.86475251152371]","[0.0, 0.0, 9.56044763210547]","[3.27354922049265, 4.031706782130503, 5.728767652114853]"
7,3,3,0.02549795298081038,0.022774016811153555,0.014223973431527233,10.607148440017118,9.473990993439878,5.917172947515329,"[0.038476488512988904, 0.00712576673775693, 0.023440597921276753]","[0.0, 0.0, 0.022774016811153555]","[0.023085893107793385, 0.0042754600426541545, 0.01261763560979695]","[16.006219221403384, 2.9643189629068827, 9.75128873525113]","[0.0, 0.0, 9.473990993439878]","[9.603731532842048, 1.7785913777441282, 5.248936413675531]"
8,3,4,0.024183099647712928,0.024430745429344737,0.01777529357926945,10.060169453448578,10.16319009860741,7.394522128976091,"[0.04580473461901377, 0.016090937957825967, 0.016143703095483356]","[0.0, 0.0, 0.024430745429344737]","[0.02748284077140826, 0.009654562774695584, 0.01394433111618787]","[19.05476960150973, 6.693830190455603, 6.7157804877210765]","[0.0, 0.0, 10.16319009860741]","[11.432861760905837, 4.016298114273363, 5.800841744334154]"
9,3,1,0.030842946811814,0.02230948571009693,0.01709154566085004,12.830665873714624,9.280746055400323,7.1100829949136175,"[0.0529883311808136, 0.02109339294263452, 0.019013149157750923]","[0.0, 0.0, 0.02230948571009693]","[0.031792998708488174, 0.012656035765580722, 0.00886418038862062]","[22.04314577121846, 8.774851464135962, 7.909470049624384]","[0.0, 0.0, 9.280746055400323]","[13.22588746273108, 5.26491087848158, 3.6874990416661775]"
10,3,2,0.048389183322810066,0.025249762842388262,0.031334736768347964,20.129900262288988,10.503901342433517,13.035250495632754,"[0.056738832507359345, 0.0331336792353003, 0.03139559234180322]","[0.0, 0.0, 0.025249762842388262]","[0.034043299504415606, 0.01988020754118018, 0.021539178630752057]","[23.603354323061488, 13.783610561884926, 13.06056641419014]","[0.0, 0.0, 10.503901342433517]","[14.162012593836893, 8.270166337130956, 8.960298310392856]"
