trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.0396116770933677,0.02230948571009693,0.0396116770933677,16.478457670840964,9.280746055400323,16.478457670840964,"[0.025472024846076594, 0.012044254536013436, 0.035708611806476005]","[0.0, 0.0, 0.02230948571009693]","[0.025472024846076594, 0.012044254536013436, 0.035708611806476005]","[10.596362335967862, 5.01040988698159, 14.854782511494019]","[0.0, 0.0, 9.280746055400323]","[10.596362335967862, 5.01040988698159, 14.854782511494019]"
2,5,2,0.022557963317329368,0.025249762842388262,0.022557963317329368,9.384112740009018,10.503901342433517,9.384112740009018,"[0.04906036564454113, 0.012232066883733655, 0.01634091695601085]","[0.0, 0.0, 0.025249762842388262]","[0.04906036564454113, 0.012232066883733655, 0.01634091695601085]","[20.40911210812911, 5.088539823633201, 6.7978214537005135]","[0.0, 0.0, 10.503901342433517]","[20.40911210812911, 5.088539823633201, 6.7978214537005135]"
3,5,3,0.012930262918089484,0.022774016811153555,0.012930262918089484,5.378989373925226,9.473990993439878,5.378989373925226,"[0.01720812950560974, 0.008894136942080728, 0.006960583856174178]","[0.0, 0.0, 0.022774016811153555]","[0.01720812950560974, 0.008894136942080728, 0.006960583856174178]","[7.158581874333652, 3.6999609679055827, 2.895602884168458]","[0.0, 0.0, 9.473990993439878]","[7.158581874333652, 3.6999609679055827, 2.895602884168458]"
4,5,4,0.019347623657072075,0.024430745429344737,0.019347623657072075,8.048611441341983,10.16319009860741,8.048611441341983,"[0.03098572869407451, 0.011073665963780652, 0.01295910922771918]","[0.0, 0.0, 0.024430745429344737]","[0.03098572869407451, 0.011073665963780652, 0.01295910922771918]","[12.890063136734996, 4.606645040932752, 5.390989438731179]","[0.0, 0.0, 10.16319009860741]","[12.890063136734996, 4.606645040932752, 5.390989438731179]"
5,5,5,0.015423491684521444,0.022981845269484304,0.015423491684521444,6.416172540760921,9.56044763210547,6.416172540760921,"[0.008844394174121029, 0.00943472321989464, 0.010138474706964381]","[0.0, 0.0, 0.022981845269484304]","[0.008844394174121029, 0.00943472321989464, 0.010138474706964381]","[3.679267976434348, 3.9248448594761705, 4.217605478097182]","[0.0, 0.0, 9.56044763210547]","[3.679267976434348, 3.9248448594761705, 4.217605478097182]"
6,3,3,0.026791560369013995,0.022774016811153555,0.014655400091623047,11.145289113509822,9.473990993439878,6.0966464381151875,"[0.016728823657523397, 0.011605394699110845, 0.02138982147784276]","[0.0, 0.0, 0.022774016811153555]","[0.010037294194514027, 0.006963236819466512, 0.011470680573506531]","[6.959190641529734, 4.827844194830112, 8.898165734782589]","[0.0, 0.0, 9.473990993439878]","[4.175514384917835, 2.8967065168980692, 4.771803118578717]"
7,3,1,0.02847378497229384,0.02230948571009693,0.014499326203534158,11.845094548474238,9.280746055400323,6.03171970067021,"[0.0397876929229049, 0.017128324904733018, 0.019956284850229173]","[0.0, 0.0, 0.02230948571009693]","[0.02387261575374296, 0.0102769949428398, 0.008651579728905422]","[16.55168025592844, 7.125383160368936, 8.301814497695336]","[0.0, 0.0, 9.280746055400323]","[9.931008153557071, 4.275229896221357, 3.5990571672246556]"
8,3,2,0.02038232865485486,0.025249762842388262,0.013178037924331192,8.479048720419621,10.503901342433517,5.482063776521776,"[0.02377803922462108, 0.012042611732324628, 0.013818039376921361]","[0.0, 0.0, 0.025249762842388262]","[0.014266823534772653, 0.007225567039394781, 0.009426729262063933]","[9.89166431744237, 5.009726480647045, 5.748304380799286]","[0.0, 0.0, 10.503901342433517]","[5.934998590465423, 3.005835888388229, 3.921519373018596]"
9,3,4,0.0379396499551051,0.024430745429344737,0.023674260029668968,15.782894381323722,10.16319009860741,9.84849217234229,"[0.059171615441310395, 0.019323297937365373, 0.02705198027602396]","[0.0, 0.0, 0.024430745429344737]","[0.035502969264786265, 0.011593978762419214, 0.019053312511278956]","[24.615392023585123, 8.038491941943995, 11.253623794825968]","[0.0, 0.0, 10.16319009860741]","[14.769235214151086, 4.823095165166393, 7.926178004692045]"
10,3,5,0.02075629585277742,0.022981845269484304,0.01239960799857066,8.634619074755406,9.56044763210547,5.158236927405395,"[0.01679751934034224, 0.01001996728615547, 0.016823423550138012]","[0.0, 0.0, 0.022981845269484304]","[0.01007851160420534, 0.006011980371693277, 0.009891759703027934]","[6.9877680455823725, 4.168306391040676, 6.998544196857413]","[0.0, 0.0, 9.56044763210547]","[4.192660827349422, 2.500983834624403, 4.114972036459621]"
11,2,5,0.03328324466303933,0.022981845269484304,0.016111706167101142,13.84582977982436,9.56044763210547,6.702469765514075,"[0.015126624052127828, 0.0204288726480487, 0.021874251952588013]","[0.0, 0.0, 0.022981845269484304]","[0.0060506496208511335, 0.008171549059219478, 0.012411493589605565]","[6.292675605685177, 8.49841102158826, 9.099688812276613]","[0.0, 0.0, 9.56044763210547]","[2.5170702422740714, 3.3993644086353028, 5.163181333275915]"
12,2,4,0.04523558474696809,0.024430745429344737,0.01952587899432766,18.818003254738723,10.16319009860741,8.122765661640306,"[0.040707816706026446, 0.024179972986516814, 0.03379768606810109]","[0.0, 0.0, 0.024430745429344737]","[0.016283126682410578, 0.009671989194606738, 0.016357954348978947]","[16.934451749707, 10.058868762390995, 14.059837404330054]","[0.0, 0.0, 10.16319009860741]","[6.773780699882801, 4.023547504956403, 6.804909009175242]"
13,2,1,0.03562738030120885,0.02230948571009693,0.01877984613330375,14.820990205302882,9.280746055400323,7.81241599145436,"[0.018438684792017167, 0.029415847545601285, 0.016103172672198986]","[0.0, 0.0, 0.02230948571009693]","[0.00737547391680687, 0.0117663390182405, 0.012305877785048878]","[7.670492873479142, 12.236992578970135, 6.698919831634779]","[0.0, 0.0, 9.280746055400323]","[3.0681971493916578, 4.894797031588048, 5.119245158580333]"
14,2,2,0.0325661206568742,0.025249762842388262,0.02088914178870011,13.547506193259666,10.503901342433517,8.689882984099246,"[0.040696128431795306, 0.023218775507776415, 0.018161121457388164]","[0.0, 0.0, 0.025249762842388262]","[0.016278451372718127, 0.009287510203110572, 0.01583157580360863]","[16.929589427626848, 9.659010611234988, 7.555026526273476]","[0.0, 0.0, 10.503901342433517]","[6.77183577105074, 3.8636042444939984, 6.585935534301191]"
15,2,3,0.02862715418859428,0.022774016811153555,0.01630216957492999,11.908896142455221,9.473990993439878,6.781702543170876,"[0.011734277651257166, 0.01357033881280801, 0.022802722045559866]","[0.0, 0.0, 0.022774016811153555]","[0.00469371106050286, 0.00542813552512321, 0.01441955563324678]","[4.881459502922981, 5.645260946128132, 9.485932370952904]","[0.0, 0.0, 9.473990993439878]","[1.9525838011691898, 2.2581043784512556, 5.998535143430661]"
16,1,4,0.05363291960636818,0.024430745429344737,0.020085014583560632,22.311294556249162,10.16319009860741,8.355366066761222,"[0.03164949052259881, 0.02476165889793045, 0.04314565606226423]","[0.0, 0.0, 0.024430745429344737]","[0.006329898104519756, 0.004952331779586094, 0.019024679532844087]","[13.166188057401104, 10.300850101539067, 17.94859292190192]","[0.0, 0.0, 10.16319009860741]","[2.6332376114802187, 2.0601700203078153, 7.91426668566314]"
17,1,2,0.05843393965216355,0.025249762842388262,0.024899003258254417,24.308518895300036,10.503901342433517,10.357985355433838,"[0.014797578059854377, 0.04166358943908484, 0.03795150497234013]","[0.0, 0.0, 0.025249762842388262]","[0.002959515611970877, 0.008332717887816967, 0.022761860455038217]","[6.155792472899421, 17.332053206659292, 15.787826068493493]","[0.0, 0.0, 10.503901342433517]","[1.2311584945798848, 3.4664106413318585, 9.468933949295899]"
18,1,5,0.05007420922486942,0.022981845269484304,0.018327236595083844,20.83087103754568,9.56044763210547,7.624130423554878,"[0.02560259633339795, 0.028799957348164724, 0.03801620184583159]","[0.0, 0.0, 0.022981845269484304]","[0.005120519266679585, 0.005759991469632945, 0.01683173436564237]","[10.650680074693547, 11.980782256836525, 15.814739967865941]","[0.0, 0.0, 9.56044763210547]","[2.1301360149387074, 2.3961564513673053, 7.002001496107226]"
