pid,autonomy,auto_grouped,human_traj_err,robot_traj_err,overall_traj_err
1,0.4,low,2.0183142283203703,0.0,1.2109885369922226
1,0.0,low,1.9257442191402574,0.0,1.9257442191402574
1,0.2,low,1.58189662523382,0.0,1.2655173001870526
1,0.6,high,2.1913590150114253,0.0,0.8765436060045724
1,0.8,high,3.25521032321114,0.0,0.6510420646422225
2,0.4,low,2.290806303524943,0.0,1.3744837821149625
2,0.6,high,2.3993923601962646,0.0,0.9597569440785001
2,0.8,high,3.52597080352484,0.0,0.705194160704965
2,0.0,low,1.5758656991893525,0.0,1.5758656991893525
2,0.2,low,1.5425427297567225,0.0,1.2340341838053774
3,0.4,low,2.1110303216467576,0.0,1.2666181929880524
3,0.0,low,1.9605298514491873,0.0,1.9605298514491873
3,0.2,low,1.40277163313829,0.0,1.12221730651063
3,0.6,high,1.9578243357660328,0.0,0.7831297343064074
3,0.8,high,1.95805755266907,0.0,0.39161151053381
4,0.4,low,1.9674808081792277,0.0,1.1804884849075323
4,0.6,high,1.7910721135916574,0.0,0.7164288454366601
4,0.8,high,3.6113027000058424,0.0,0.7222605400011625
4,0.0,low,2.9689690750865325,0.0,2.9689690750865325
4,0.2,low,1.832041998185545,0.0,1.465633598548435
5,0.4,low,2.839108594504738,0.0,1.70346515670284
5,0.0,low,2.0625300377247373,0.0,2.0625300377247373
5,0.2,low,1.7623692221962601,0.0,1.4098953777570076
5,0.6,high,2.7751443011298624,0.0,1.110057720451945
5,0.8,high,3.2822590192330052,0.0,0.6564518038465975
6,0.4,low,3.2396762833364576,0.0,1.9438057700018725
6,0.6,high,2.993836619951245,0.0,1.197534647980495
6,0.8,high,3.8463385500444827,0.0,0.7692677100088925
6,0.0,low,2.364965377007085,0.0,2.364965377007085
6,0.2,low,2.241515503499385,0.0,1.7932124027995076
7,0.4,low,2.1377892232711124,0.0,1.2826735339626625
7,0.0,low,2.901502485467727,0.0,2.901502485467727
7,0.2,low,2.4175982293034504,0.0,1.9340785834427623
7,0.6,high,2.0317605947030555,0.0,0.8127042378812199
7,0.8,high,2.91506582604573,0.0,0.583013165209145
8,0.4,low,2.64236768162573,0.0,1.5854206089754348
8,0.6,high,3.8378697662737866,0.0,1.5351479065095102
8,0.8,high,3.8791708035356773,0.0,0.775834160707135
8,0.0,low,3.6458874364719076,0.0,3.6458874364719076
8,0.2,low,3.0956842235566677,0.0,2.4765473788453303
9,0.4,low,2.621692154773087,0.0,1.5730152928638501
9,0.0,low,2.9384185055555623,0.0,2.9384185055555623
9,0.2,low,2.62419645245617,0.0,2.099357161964935
9,0.6,high,2.341465734520555,0.0,0.9365862938082176
9,0.8,high,2.7827747006422725,0.0,0.5565549401284525
10,0.4,low,2.5074023807413774,0.0,1.504441428444825
10,0.6,high,2.311462984819585,0.0,0.92458519392783
10,0.8,high,2.9731702185280175,0.0,0.5946340437056
10,0.0,low,2.607232657580485,0.0,2.607232657580485
10,0.2,low,2.8177367994965876,0.0,2.254189439597272
11,0.4,low,2.5125335040931676,0.0,1.5075201024559
11,0.0,low,3.1297499872504893,0.0,3.1297499872504893
11,0.2,low,2.1270636508772425,0.0,1.7016509207017922
11,0.6,high,2.4477987180133347,0.0,0.9791194872053325
11,0.8,high,2.391090294936525,0.0,0.47821805898729997
12,0.4,low,2.4043649905766804,0.0,1.442618994346005
12,0.6,high,2.5138673727337126,0.0,1.0055469490934825
12,0.8,high,3.581867798479685,0.0,0.71637355969593
12,0.0,low,2.96378240330162,0.0,2.96378240330162
12,0.2,low,3.229166365780582,0.0,2.5833330926244646
13,0.4,low,1.6314684542493303,0.0,0.978881072549595
13,0.0,low,2.5746166711156953,0.0,2.5746166711156953
13,0.2,low,2.3836323044839376,0.0,1.9069058435871498
13,0.6,high,3.1516140890988322,0.0,1.2606456356395301
13,0.8,high,2.10630727439263,0.0,0.42126145487852257
14,0.4,low,3.3431881207817726,0.0,2.0059128724690627
14,0.6,high,3.66249464555011,0.0,1.4649978582200425
14,0.8,high,3.9531707698780854,0.0,0.790634153975615
14,0.0,low,2.9828792136289177,0.0,2.9828792136289177
14,0.2,low,3.002360955330448,0.0,2.401888764264357
15,0.4,low,1.6677914111334624,0.0,1.0006748466800726
15,0.0,low,1.4886253028882326,0.0,1.4886253028882326
15,0.2,low,1.33776393226827,0.0,1.070211145814615
15,0.6,high,1.72315328311398,0.0,0.6892613132455875
15,0.8,high,2.304842880478828,0.0,0.4609685760957626
16,0.4,low,2.30641194609304,0.0,1.3838471676558202
