pid,autonomy,auto_grouped,human_traj_err,robot_traj_err,overall_traj_err
16,0.6,high,2.41518305726287,0.0,0.9660732229051475
16,0.8,high,4.874907188482168,0.0,0.9749814376964274
16,0.0,low,1.9169861488219273,0.0,1.9169861488219273
16,0.2,low,2.0363762031949126,0.0,1.6291009625559298
17,0.4,low,1.9043530695365103,0.0,1.142611841721905
17,0.0,low,2.1483142272175426,0.0,2.1483142272175426
17,0.2,low,2.2443112530997626,0.0,1.7954490024798124
17,0.6,high,2.52909054504534,0.0,1.0116362180181324
17,0.8,high,2.3212246245330124,0.0,0.464244924906595
18,0.4,low,9.486583165057914,0.0,5.691949899034745
18,0.6,high,2.3872722076057276,0.0,0.9549088830422875
18,0.8,high,2.3193639915335926,0.0,0.46387279830671496
18,0.0,low,3.4071902968596928,0.0,3.4071902968596928
18,0.2,low,3.6274963226796504,0.0,2.9019970581437176
19,0.4,low,1.7804919914117077,0.0,1.0682951948470225
19,0.0,low,1.78291790229621,0.0,1.78291790229621
19,0.2,low,2.02182932079794,0.0,1.61746345663835
19,0.6,high,2.279841509457585,0.0,0.91193660378303
19,0.8,high,2.9922517225872447,0.0,0.5984503445174449
20,0.4,low,7.5870613993484906,0.0,4.552236839609092
20,0.6,high,2.6862216564009325,0.0,1.07448866256037
20,0.8,high,3.088389441515215,0.0,0.6176778883030375
20,0.0,low,3.8184548887548297,0.0,3.8184548887548297
20,0.2,low,3.1917763918747504,0.0,2.5534211134998004
21,0.4,low,2.2609336035758503,0.0,1.35656016214551
21,0.0,low,2.14655979676272,0.0,2.14655979676272
21,0.2,low,2.939437851892865,0.0,2.35155028151429
21,0.6,high,2.3579395457070076,0.0,0.9431758182828001
21,0.8,high,2.856498740102675,0.0,0.57129974802053
22,0.4,low,2.6632333123627228,0.0,1.5979399874176303
22,0.6,high,2.6891484427274976,0.0,1.0756593770909948
22,0.8,high,3.5748409049817074,0.0,0.7149681809963375
22,0.0,low,1.5430286183544175,0.0,1.5430286183544175
22,0.2,low,1.4791635892095276,0.0,1.1833308713676223
23,0.4,low,2.1780809594972346,0.0,1.3068485756983375
23,0.0,low,2.3940277862803274,0.0,2.3940277862803274
23,0.2,low,2.3438410659823177,0.0,1.8750728527858502
23,0.6,high,3.04026827804807,0.0,1.216107311219225
23,0.8,high,3.6592598689519127,0.0,0.7318519737903749
24,0.4,low,3.49969001521737,0.0,2.09981400913042
24,0.6,high,3.8915131097948654,0.0,1.556605243917945
24,0.8,high,5.156217465254498,0.0,1.0312434930508974
24,0.0,low,2.3459414047968927,0.0,2.3459414047968927
24,0.2,low,3.5572880167417,0.0,2.84583041339336
