trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.01761272759136469,0.02230948571009693,0.01761272759136469,7.3268946780077115,9.280746055400323,7.3268946780077115,"[0.011188503881618982, 0.008852855451171733, 0.013264740329268297]","[0.0, 0.0, 0.02230948571009693]","[0.011188503881618982, 0.008852855451171733, 0.013264740329268297]","[4.654417614753497, 3.6827878676874413, 5.518131976975612]","[0.0, 0.0, 9.280746055400323]","[4.654417614753497, 3.6827878676874413, 5.518131976975612]"
2,5,2,0.015652040033453947,0.025249762842388262,0.015652040033453947,6.511248653916843,10.503901342433517,6.511248653916843,"[0.014789626639962621, 0.00750368364507593, 0.011935646079839027]","[0.0, 0.0, 0.025249762842388262]","[0.014789626639962621, 0.00750368364507593, 0.011935646079839027]","[6.1524846822244506, 3.121532396351587, 4.965228769213035]","[0.0, 0.0, 10.503901342433517]","[6.1524846822244506, 3.121532396351587, 4.965228769213035]"
3,5,3,0.014387945900120387,0.022774016811153555,0.014387945900120387,5.985385494450081,9.473990993439878,5.985385494450081,"[0.02506845681138899, 0.008942819462448952, 0.009574992502531472]","[0.0, 0.0, 0.022774016811153555]","[0.02506845681138899, 0.008942819462448952, 0.009574992502531472]","[10.42847803353782, 3.7202128963787637, 3.983196881053092]","[0.0, 0.0, 9.473990993439878]","[10.42847803353782, 3.7202128963787637, 3.983196881053092]"
4,5,4,0.02296597442744582,0.024430745429344737,0.02296597442744582,9.55384536181746,10.16319009860741,9.55384536181746,"[0.011285400476160778, 0.01710770611862218, 0.01349451436550999]","[0.0, 0.0, 0.024430745429344737]","[0.011285400476160778, 0.01710770611862218, 0.01349451436550999]","[4.694726598082884, 7.116805745346826, 5.613717976052156]","[0.0, 0.0, 10.16319009860741]","[4.694726598082884, 7.116805745346826, 5.613717976052156]"
5,5,5,0.013488621753380248,0.02298376226200014,0.013488621753380248,5.597778027652803,9.53826133873006,5.597778027652803,"[0.027238149485579132, 0.006019655492284791, 0.011018184175321424]","[0.0, 0.0, 0.02298376226200014]","[0.027238149485579132, 0.006019655492284791, 0.011018184175321424]","[11.30383203651534, 2.4981570292981883, 4.572546432758391]","[0.0, 0.0, 9.53826133873006]","[11.30383203651534, 2.4981570292981883, 4.572546432758391]"
6,3,1,0.0272808268622358,0.02230948571009693,0.016320573628215054,11.348823974690093,9.280746055400323,6.789358629337463,"[0.02532299364769428, 0.018926825447369868, 0.01725586869483981]","[0.0, 0.0, 0.02230948571009693]","[0.015193796188616574, 0.011356095268421924, 0.010171886772009473]","[10.53436535744082, 7.873559386105866, 7.178441377053361]","[0.0, 0.0, 9.280746055400323]","[6.320619214464495, 4.72413563166352, 4.231504897155941]"
7,3,4,0.01686905339547853,0.024430745429344737,0.011801426836748173,7.017526212519069,10.16319009860741,4.90939356408724,"[0.041227170253588435, 0.005237991752062119, 0.014540832987247973]","[0.0, 0.0, 0.024430745429344737]","[0.02473630215215308, 0.0031427950512372712, 0.010650349252420699]","[17.15050282549279, 2.1790045688578417, 6.048986522695157]","[0.0, 0.0, 10.16319009860741]","[10.290301695295682, 1.307402741314705, 4.430545289007011]"
8,3,2,0.023520713909493438,0.025249762842388262,0.012951704899046478,9.78461698634927,10.503901342433517,5.387909238003335,"[0.018251378844822176, 0.00723437859579378, 0.021384865565609798]","[0.0, 0.0, 0.025249762842388262]","[0.010950827306893304, 0.004340627157476272, 0.011404207478995424]","[7.592573599446025, 3.0095014958502126, 8.896104075293676]","[0.0, 0.0, 10.503901342433517]","[4.5555441596676145, 1.8057008975101292, 4.744150311262096]"
9,3,5,0.020293209993825348,0.022981845269484304,0.012146488760063075,8.441975357431344,9.56044763210547,5.052939324186239,"[0.012158128112151235, 0.01053751653748179, 0.014179527990334648]","[0.0, 0.0, 0.022981845269484304]","[0.0072948768672907345, 0.006322509922489074, 0.00934944894984083]","[5.057781294654914, 4.383606879592425, 5.898683643979214]","[0.0, 0.0, 9.56044763210547]","[3.0346687767929454, 2.630164127755455, 3.8893707631337855]"
10,3,3,0.019903608946644023,0.022774016811153555,0.015435563952354452,8.279901321803914,9.473990993439878,6.421194604179452,"[0.010794581839015603, 0.008817077540474267, 0.01632433909267387]","[0.0, 0.0, 0.022774016811153555]","[0.0064767491034093735, 0.005290246524284557, 0.013702395980791102]","[4.490546045030491, 3.667904256837295, 6.790925062552329]","[0.0, 0.0, 9.473990993439878]","[2.6943276270182994, 2.2007425541023755, 5.700196728009098]"
