pid,order,trust_tech,play_games,play_music
1,inc,7,7,1
2,dec,6,2,1
3,inc,6,1,2
4,dec,6,6,3
5,inc,7,1,1
6,dec,5,6,2
7,inc,6,1,1
8,dec,6,2,2
9,inc,6,2,4
10,dec,3,4,1
11,inc,5,6,3
12,dec,6,7,5
13,inc,7,7,2
14,dec,6,6,2
15,inc,6,5,4
16,dec,5,1,1
17,inc,5,5,1
18,dec,3,6,1
19,inc,6,7,5
20,dec,6,1,2
21,inc,7,6,1
22,dec,5,1,1
23,inc,5,5,4
24,dec,6,1,3
