trial_number,alpha_id,traj_id,rhythm_id,tempo,ave. error,ave. error (%),ref_times,recorded_times,times_from_start,error_list,errp_list
1,3,0,5,135,0.05854974852667913,7.130371982401067,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.3837432861328125, 1.695777177810669, 2.0958077907562256, 3.391429901123047, 3.823434591293335, 5.00757098197937, 5.439521789550781, 6.671227931976318, 7.15114164352417, 8.351132869720459, 8.83092999458313]","[0.06409430503845215, 0.2560245990753174, 0.44783806800842285, 0.6558263301849365, 1.7598717212677002, 1.9516606330871582, 2.159902811050415, 2.3516623973846436, 3.455524444580078, 3.6317861080169678, 3.887529134750366, 4.047513008117676, 5.0716657638549805, 5.247329473495483, 5.503616809844971, 5.663401365280151, 6.735322952270508, 6.895180702209473, 7.215236186981201, 7.375252962112427, 8.41522741317749, 8.607216596603394, 8.89502501487732, 9.02320146560669, 10.047216653823853, 10.223181247711182]","[-0.06070115831163192, -0.021299441655476814, -0.044413831498888, -0.03771122296651175, -0.012439754274156556, -0.14919694264729788, -0.012493636873033509, -0.10162719090779593, 0.03546926710340692, -0.13334210713704486, 0.03535268041822626]","[-13.657760620117182, -1.597458124160761, -9.993112087249797, -2.828341722488382, -2.7989447116852237, -11.189770698547344, -2.811068296432538, -7.622039318084696, 7.980585098266553, -10.000658035278361, 7.954353094100903]"
2,3,3,5,135,0.21653624255247791,24.130176414142955,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.3038356304168701, 1.2315073013305664, 1.583768606185913, 2.5592575073242188, 3.18304181098938, 4.270731687545776, 4.6392271518707275, 5.5991902351379395, 5.998379468917847, 6.910930871963501, 7.31011438369751]","[0.02590632438659668, 0.15388131141662598, 0.3297433853149414, 0.44170331954956055, 1.2574143409729004, 1.4014723300933838, 1.609673261642456, 1.7373101711273193, 2.5851645469665527, 2.7290894985198975, 3.208948850631714, 3.289581060409546, 4.2966389656066895, 4.409178256988525, 4.665130853652954, 4.776516914367676, 5.625094413757324, 5.784388542175293, 6.02428674697876, 6.120380878448486, 6.936837673187256, 7.111986875534058, 7.336021661758423, 7.43209171295166, 8.295628786087036, 8.423774719238281, 8.634645700454712, 8.72863221168518, 9.6242196559906, 9.799314022064209, 9.943432807922363, 10.007798671722412]","[-0.1406088140275743, -0.40566166241963697, -0.09218313958909796, -0.3578444321950274, 0.1793398592207165, -0.24564345677693655, -0.07594898011949347, -0.3733702500661211, -0.045255210664537415, -0.42078193028767963, -0.04526093271043585]","[-31.636983156204217, -30.42462468147277, -20.741206407547033, -26.838332414627057, 40.35146832466119, -18.423259258270246, -17.088520526886022, -28.00276875495909, -10.182422399520915, -31.558644771575956, -10.183709859848063]"
3,3,4,5,135,0.13719741503397628,15.384126251394115,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.36793971061706543, 1.487579584121704, 1.8878083229064941, 3.039076328277588, 3.346703290939331, 4.478621244430542, 4.862445831298828, 5.966207027435303, 6.366160869598389, 7.390652418136597, 7.824161767959595]","[-0.02359485626220703, 0.10514235496520996, 0.3443453311920166, 0.45644593238830566, 1.4639835357666016, 1.6247758865356445, 1.8642141819000244, 1.9778363704681396, 3.015482187271118, 3.175504446029663, 3.323106050491333, 3.4794483184814453, 4.455027103424072, 4.599572420120239, 4.838851690292358, 4.951496839523315, 5.942611217498779, 6.086476564407349, 6.342566251754761, 6.438464641571045, 7.367058038711548, 7.479310512542725, 7.800561428070068, 7.8968658447265625, 9.114742040634155, 9.258257389068604, 9.435304880142212, 9.578686714172363]","[-0.07650473382737899, -0.2136934598286946, -0.0442157056596546, -0.1820653279622393, -0.13681748178270148, -0.2014153798421221, -0.06061985757615851, -0.22957213719685843, -0.044490602281358704, -0.3088417847951259, -0.010935094621446595]","[-17.21356511116027, -16.027009487152093, -9.948533773422282, -13.65489959716795, -30.78393340110782, -15.10615348815916, -13.63946795463566, -17.217910289764387, -10.010385513305705, -23.16313385963443, -2.460396289825483]"
4,3,2,5,135,0.13381135102474334,17.75113181634384,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.35219526290893555, 1.6489591598510742, 2.001969575881958, 3.154712677001953, 3.5399973392486572, 4.610402822494507, 4.915165185928345, 6.051179647445679, 6.403234004974365, 7.507836103439331, 7.861408472061157]","[-0.03035116195678711, 0.08197140693664551, 0.32184553146362305, 0.49817514419555664, 1.618607997894287, 1.746652364730835, 1.971613883972168, 2.0988831520080566, 3.1243550777435303, 3.2674238681793213, 3.509643077850342, 3.651735782623291, 4.580052375793457, 4.724385023117065, 4.884810209274292, 4.996261835098267, 6.020829200744629, 6.168376684188843, 6.3728837966918945, 6.487875699996948, 7.477485656738281, 7.621460437774658, 7.831056356430054, 7.961565971374512, 9.062087535858154, 9.190101385116577, 9.382197141647339, 9.510250091552734]","[-0.09224918153550887, -0.03656943639119459, -0.09143402841356085, -0.18059023221333792, -0.05915978219774054, -0.26292785008748343, -0.13968208101060675, -0.19731887181599905, -0.09239008691575812, -0.2287312348683681, -0.09087207582261847]","[-20.756065845489495, -2.7427077293395943, -20.572656393051183, -13.544267416000347, -13.310950994491616, -19.71958875656126, -31.428468227386503, -14.798915386199932, -20.787769556045568, -17.1548426151276, -20.446217060089147]"
5,3,1,5,135,0.13776704759308792,19.87181847745723,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.2876243591308594, 1.695739507675171, 1.9835834503173828, 3.1515722274780273, 3.4716365337371826, 4.703480243682861, 5.039506912231445, 6.127969980239868, 6.4956207275390625, 7.599550724029541, 7.967459440231323]","[-0.24262475967407227, -0.11511635780334473, 0.045000314712524414, 0.14093399047851562, 1.4531149864196777, 1.6129851341247559, 1.7409591674804688, 1.8690001964569092, 2.908947229385376, 3.021085023880005, 3.2290091514587402, 3.3089559078216553, 4.460856199264526, 4.572928428649902, 4.79688286781311, 4.92508864402771, 5.885344982147217, 6.0128724575042725, 6.2529966831207275, 6.364995718002319, 7.356924772262573, 7.468733787536621, 7.724835395812988, 7.820796489715576, 8.748752117156982, 8.89311671257019, 9.08530879020691, 9.16509747505188]","[-0.15682008531358504, 0.07478181521097826, -0.15660050180223273, -0.1653445561726885, -0.12438013818528937, -0.10148962338765433, -0.10841777589586066, -0.24487026532491019, -0.0767936971452503, -0.2294033368428554, -0.07653572824266242]","[-35.28451919555663, 5.60863614082337, -35.23511290550235, -12.40084171295164, -27.985531091690095, -7.611721754074076, -24.393999576568635, -18.36526989936827, -17.27858185768131, -17.205250263214147, -17.220538854599035]"
6,3,5,5,135,0.1633334015354966,17.199570482427436,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.38388490676879883, 1.5678126811981201, 1.9197800159454346, 3.0405945777893066, 3.4720358848571777, 4.480981826782227, 4.849256277084351, 5.87238883972168, 6.240523338317871, 7.136669874191284, 7.536665916442871]","[-0.13844943046569824, 0.00547337532043457, 0.2454361915588379, 0.4214303493499756, 1.429363489151001, 1.5735201835632324, 1.7813310623168945, 1.9413695335388184, 2.90214467048645, 3.0294928550720215, 3.3335859775543213, 3.4455299377441406, 4.342533349990845, 4.502441883087158, 4.710806846618652, 4.869812488555908, 5.733940124511719, 5.877984523773193, 6.102073907852173, 6.246071100234985, 6.998190402984619, 7.190154314041138, 7.398216962814331, 7.478505849838257, 8.358678579330444, 8.502461194992065, 8.710633039474487, 8.83900499343872, 9.718563556671143, 9.830598831176758]","[-0.06055953767564559, -0.14940555890401197, -0.09247710969713019, -0.21251877148946097, -0.013003137376573548, -0.3243873914082842, -0.07616999414232062, -0.31020077069600394, -0.07630994584825324, -0.43718679745992084, -0.04444840219285773]","[-13.625895977020258, -11.205416917800898, -20.807349681854284, -15.938907861709575, -2.925705909729047, -24.32905435562132, -17.13824868202213, -23.2650578022003, -17.16973781585697, -32.78900980949405, -10.000890493392985]"
7,5,0,2,120,0.10961666107177734,9.48774019877116,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.480053186416626, 2.095674514770508, 2.5438392162323, 3.8713326454162598, 4.367645263671875, 5.679365158081055, 6.127196311950684, 7.43907904624939, 7.903220176696777, 9.13507604598999]","[0.7659769058227539, 1.0059468746185303, 1.2460312843322754, 1.4056005477905273, 2.8616528511047363, 3.069448471069336, 3.309817314147949, 3.501746892929077, 4.63731050491333, 4.845668315887451, 5.1336236000061035, 5.309571266174316, 6.445343732833862, 6.653301000595093, 6.893174886703491, 7.101320266723633, 8.205057144165039, 8.381329774856567, 8.669198274612427, 8.829212665557861, 9.901054382324219, 10.077109336853027, 10.349105834960938, 10.5410315990448, 11.644996643066406]","[-0.019946813583374023, 0.11562132835388184, -0.05183529853820801, -0.17250657081604004, -0.0036873817443847656, -0.1882801055908203, -0.052168846130371094, -0.18811726570129395, -0.035858869552612305, -0.2681441307067871]","[-3.9893627166748047, 7.708088556925456, -10.367059707641602, -11.500438054402668, -0.7374763488769531, -12.552007039388021, -10.433769226074219, -12.54115104675293, -7.171773910522461, -17.876275380452476]"
8,5,5,2,120,0.16951158046722412,19.45112387339274,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.4480001926422119, 1.839881420135498, 2.208059310913086, 3.503847599029541, 3.88832950592041, 5.295865774154663, 5.6314942836761475, 6.751465559005737, 7.103900671005249, 8.304884195327759]","[-0.04853367805480957, 0.14343881607055664, 0.39946746826171875, 0.5594086647033691, 1.791348934173584, 1.935807228088379, 2.159524440765381, 2.27191424369812, 3.455313205718994, 3.615450143814087, 3.839796304702759, 3.967254877090454, 5.247332334518433, 5.391063690185547, 5.582962274551392, 5.695606231689453, 6.702932834625244, 6.879858732223511, 7.055367708206177, 7.199109077453613, 8.256350040435791, 8.430919170379639, 8.622899532318115, 8.768070936203003]","[-0.051999807357788086, -0.10811877250671387, -0.1318221092224121, -0.20421171188354492, -0.11551809310913086, -0.09246373176574707, -0.16437149047851562, -0.38002872467041016, -0.14756488800048828, -0.29901647567749023]","[-10.399961471557617, -7.207918167114258, -26.364421844482422, -13.614114125569662, -23.103618621826172, -6.164248784383139, -32.874298095703125, -25.335248311360676, -29.512977600097656, -19.93443171183268]"
9,5,1,2,120,0.140075421333313,16.444557507832847,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.43097639083862305, 1.951155662536621, 2.3839778900146484, 3.6954739093780518, 4.031226873397827, 5.29584527015686, 5.679442405700684, 7.071650266647339, 7.455536842346191, 8.639604330062866]","[-0.1409742832183838, 0.04994511604309082, 0.29000258445739746, 0.43407750129699707, 1.8101823329925537, 1.9540636539459229, 2.2430038452148438, 2.386073350906372, 3.5545008182525635, 3.6981756687164307, 3.8902530670166016, 4.018301725387573, 5.154871225357056, 5.346668720245361, 5.538468360900879, 5.666761875152588, 6.930676698684692, 7.090546369552612, 7.31456446647644, 7.396197319030762, 8.498631000518799, 8.626900434494019, 8.898804664611816, 8.994970321655273]","[-0.06902360916137695, 0.020179271697998047, -0.06717777252197266, -0.18850398063659668, -0.1642470359802246, -0.2353816032409668, -0.11640286445617676, -0.10779213905334473, -0.11611342430114746, -0.3159325122833252]","[-13.80472183227539, 1.3452847798665366, -13.435554504394531, -12.56693204243978, -32.84940719604492, -15.69210688273112, -23.28057289123535, -7.186142603556315, -23.222684860229492, -21.062167485555015]"
10,5,4,2,120,0.17113590240478516,18.695990244547524,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.39931559562683105, 1.8885974884033203, 2.272768974304199, 3.407477378845215, 3.8075904846191406, 5.0715954303741455, 5.441022872924805, 6.832021951675415, 7.2324745655059814, 8.288640975952148]","[-0.17029666900634766, -0.010701656341552734, 0.22902655601501465, 0.4055802822113037, 1.7183079719543457, 1.8611657619476318, 2.1024768352508545, 2.2292730808258057, 3.2371881008148193, 3.4772090911865234, 3.6373016834259033, 3.7658090591430664, 4.901306390762329, 5.047518730163574, 5.270732879638672, 5.397553443908691, 6.661730527877808, 6.822150230407715, 7.062182188034058, 7.190431118011475, 8.118348836898804, 8.325478076934814, 8.549501895904541, 8.693577289581299]","[-0.10068440437316895, -0.010718107223510742, -0.1158285140991211, -0.3652915954589844, -0.09988689422607422, -0.23599505424499512, -0.13057255744934082, -0.10900092124938965, -0.0995473861694336, -0.443833589553833]","[-20.13688087463379, -0.7145404815673828, -23.16570281982422, -24.35277303059896, -19.977378845214844, -15.733003616333008, -26.114511489868164, -7.2667280832926435, -19.90947723388672, -29.588905970255535]"
