trial_number,alpha_id,traj_id,rhythm_id,tempo,ave. error,ave. error (%),ref_times,recorded_times,times_from_start,error_list,errp_list
1,3,0,5,135,0.07657414494138787,9.594510360197605,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.41605091094970703, 1.6641499996185303, 2.0960843563079834, 3.440260410308838, 3.8400278091430664, 5.2639548778533936, 5.664170980453491, 7.151873826980591, 7.536153793334961, 9.088322877883911, 9.440301179885864]","[-0.6061301231384277, -0.4939839839935303, -0.1900780200958252, -0.11010551452636719, 1.0580205917358398, 1.153923749923706, 1.4899556636810303, 1.5699541568756104, 2.8341307640075684, 2.945937156677246, 3.233898401260376, 3.2979896068573, 4.657825469970703, 4.737766265869141, 5.058042049407959, 5.137831449508667, 6.545744180679321, 6.642146110534668, 6.93002462387085, 7.010116815567017, 8.482193946838379, 8.578099966049194, 8.834172487258911, 8.914222955703735, 10.354264736175537]","[-0.02839353349473739, -0.08523424466451002, -0.012510087754991517, 0.010842720667521455, -0.044677045610216126, 0.09059373537699411, -0.044228341844346986, 0.15436951319376657, -0.060164478090074525, 0.21883575121561627, -0.09246614244249152]","[-6.388545036315913, -6.3925683498382515, -2.81476974487309, 0.8132040500641093, -10.052335262298625, 6.79453015327456, -9.951376914978068, 11.577713489532496, -13.537007570266763, 16.41268134117121, -20.804882049560582]"
2,3,3,5,135,0.2159262439351024,20.67151665687562,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555]","[0.0, 0.2890162467956543, 2.000117301940918, 2.4800865650177, 4.0001373291015625, 4.448366403579712, 6.0324037075042725, 6.448312044143677, 8.641169548034668, 9.04026484489441]","[0.22607207298278809, 0.33807921409606934, 0.5150856971740723, 0.6744654178619385, 2.226189374923706, 2.386186122894287, 2.7061595916748047, 2.8512492179870605, 4.226208925247192, 4.370286226272583, 4.674438714981079, 4.7543299198150635, 6.258476257324219, 6.3542516231536865, 6.674384593963623, 6.770370244979858, 8.867238283157349, 8.978321075439453, 9.266337633132935, 9.346817255020142]","[-0.15542819764879012, 0.3777677218119304, 0.035524818632337585, 0.18671743075052927, 0.0037846300337047722, 0.2507039705912275, -0.028536107805040345, 0.8595241705576582, -0.04534914758470343]","[-34.971344470977776, 28.332579135894782, 7.993084192275952, 14.003807306289698, 0.8515417575835734, 18.80279779434207, -6.420624256134075, 64.46431279182437, -10.203558206558268]"
3,3,2,5,135,0.10480465070165788,12.207039919766533,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.46537280082702637, 1.8420426845550537, 2.208116054534912, 3.6161561012268066, 4.064276218414307, 5.778123378753662, 6.144271373748779, 7.744345664978027, 8.128291368484497, 9.392828941345215, 9.760286331176758]","[0.23740768432617188, 0.3829226493835449, 0.7027814388275146, 0.7989099025726318, 2.0794451236724854, 2.174370050430298, 2.4455249309539795, 2.5414845943450928, 3.8535654544830322, 3.9817960262298584, 4.30168604850769, 4.365597486495972, 6.015526533126831, 6.1432130336761475, 6.3816797733306885, 6.461674690246582, 7.9817540645599365, 8.062664031982422, 8.36570119857788, 8.477749347686768, 9.630235433578491, 9.72569727897644, 9.997695684432983, 10.094037532806396]","[0.020928356382581947, 0.043336550394694084, -0.07837107446458624, 0.0747067133585615, 0.003675672743055358, 0.38051382700602243, -0.07829644944932745, 0.266740957895915, -0.060498740937974915, -0.06879576047261615, -0.07698705461290167]","[4.708880186080938, 3.250241279602056, -17.633491754531896, 5.603003501892114, 0.8270263671874553, 28.53853702545169, -17.61670112609867, 20.005571842193632, -13.61221671104435, -5.15968203544621, -17.322087287902868]"
4,3,1,5,135,0.1028932347709751,11.752186881171342,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555]","[0.0, 0.5274250507354736, 1.9034829139709473, 2.447662353515625, 4.129768371582031, 4.576615810394287, 6.143735647201538, 6.559861898422241, 7.951838970184326, 8.367608547210693]","[0.3594703674316406, 0.4872462749481201, 0.8868992328643799, 0.9829192161560059, 2.2629568576812744, 2.4087588787078857, 2.8071367740631104, 2.9349515438079834, 4.489237070083618, 4.58319616317749, 4.9360833168029785, 5.047173976898193, 6.503209829330444, 6.631678581237793, 6.91933536529541, 7.01633095741272, 8.311312675476074, 8.439012050628662, 8.7270827293396, 8.841329574584961]","[0.08298060629102921, 0.042724529902140373, 0.09973499510023309, 0.3487726847330732, 0.0024029943678112176, 0.23378650347391794, -0.028318193223741517, 0.058643738428751924, -0.028674867418077454]","[18.670636415481574, 3.204339742660528, 22.440373897552433, 26.157951354980497, 0.5406737327575237, 17.533987760543848, -6.371593475341839, 4.398280382156395, -6.451845169067425]"
5,3,4,5,135,0.2036257113939452,19.50836247868011,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555]","[0.0, 0.41504335403442383, 2.1920907497406006, 2.5911197662353516, 4.479212284088135, 4.912562608718872, 6.543242454528809, 6.9113194942474365, 8.527278423309326, 8.879814863204956]","[0.7994837760925293, 0.9273157119750977, 1.2145278453826904, 1.3425896167755127, 2.9915740489959717, 3.1027321815490723, 3.3906044960021973, 3.486698627471924, 5.278696060180664, 5.438690423965454, 5.712043762207031, 5.823009729385376, 7.34272575378418, 7.438952207565308, 7.710804224014282, 7.822771310806274, 9.326761960983276, 9.470752954483032, 9.679296731948853, 9.806785821914673]","[-0.02940109041002059, 0.4437140623728435, -0.045415427949693665, 0.5547591845194502, -0.011094119813707337, 0.2973465124766035, -0.07636740472581671, 0.2826255957285566, -0.09190800454881476]","[-6.615245342254633, 33.278554677963264, -10.218471288681071, 41.606938838958776, -2.49617695808415, 22.300988435745268, -17.18266606330875, 21.196919679641752, -20.679301023483312]"
6,3,5,5,135,0.16304148568047433,15.458426210615386,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555]","[0.0, 0.4167306423187256, 1.792567491531372, 2.2241110801696777, 3.760066270828247, 4.22454571723938, 5.936044454574585, 6.3045334815979, 8.288130521774292, 8.675361156463623]","[0.6456737518310547, 0.7576720714569092, 1.062406063079834, 1.1581707000732422, 2.438241720199585, 2.5340216159820557, 2.869786024093628, 2.9822728633880615, 4.405742168426514, 4.549841642379761, 4.870222091674805, 4.96947455406189, 6.581721067428589, 6.741822242736816, 6.95020866394043, 7.045869827270508, 8.933806657791138, 9.093837022781372, 9.32103419303894, 9.429996252059937]","[-0.027713802125718834, 0.042503515879313225, -0.012900855806138978, 0.2026218573252363, 0.02003500196668817, 0.37816540400187204, -0.07595541742112921, 0.6502637068430586, -0.05721380975511359]","[-6.235605478286738, 3.1877636909484917, -2.9026925563812687, 15.196639299392725, 4.507875442504837, 28.36240530014041, -17.089968919754064, 48.769778013229406, -12.873107194900552]"
7,2,0,2,120,0.08813931941986083,10.60740311940511,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.41617870330810547, 2.0490691661834717, 2.497072696685791, 4.2418107986450195, 4.673958778381348, 6.274471044540405, 6.659119367599487, 8.14730429649353, 8.611467123031616, 10.148045778274536]","[-0.06738018989562988, 0.07642793655395508, 0.3487989902496338, 0.4608449935913086, 1.9816884994506836, 2.125540256500244, 2.4296927452087402, 2.5578725337982178, 4.17443060874939, 4.334801912307739, 4.606578826904297, 4.734893798828125, 6.2070910930633545, 6.351515054702759, 6.591739892959595, 6.719738960266113, 8.079923868179321, 8.240007638931274, 8.544087409973145, 8.656102180480957, 10.080666542053223]","[-0.08382129669189453, 0.1328904628753662, -0.051996469497680664, 0.24473810195922852, -0.06785202026367188, 0.10051226615905762, -0.11535167694091797, -0.011815071105957031, -0.03583717346191406, 0.03657865524291992]","[-16.764259338378906, 8.859364191691082, -10.399293899536133, 16.31587346394857, -13.570404052734375, 6.700817743937175, -23.070335388183594, -0.7876714070638021, -7.1674346923828125, 2.438577016194661]"
8,2,4,2,120,0.15897589921951294,17.256208260854084,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0]","[0.0, 0.4321627616882324, 2.240178346633911, 2.624161720275879, 4.544320106506348, 4.9287824630737305, 6.4007182121276855, 6.800640821456909, 8.416740894317627]","[-0.5028905868530273, -0.37486886978149414, -0.07072734832763672, 0.1212320327758789, 1.737288475036621, 1.8816618919372559, 2.121271848678589, 2.281332015991211, 4.0414299964904785, 4.217627048492432, 4.425891637802124, 4.537657976150513, 5.8978283405303955, 6.057713270187378, 6.297750473022461, 6.441675662994385, 7.913850545883179, 8.059389114379883]","[-0.06783723831176758, 0.3080155849456787, -0.11601662635803223, 0.42015838623046875, -0.11553764343261719, -0.028064250946044922, -0.10007739067077637, 0.11610007286071777]","[-13.567447662353516, 20.534372329711914, -23.203325271606445, 28.01055908203125, -23.107528686523438, -1.8709500630696614, -20.015478134155273, 7.740004857381185]"
9,2,5,2,120,0.31159287028842503,33.631436030069985,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5]","[0.0, 0.3679811954498291, 2.0161948204040527, 2.4001660346984863, 3.984213352203369, 4.288324356079102, 6.192320346832275, 6.5283119678497314, 9.328436851501465, 9.568427801132202]","[-0.2906031608581543, -0.19454503059387207, 0.07737874984741211, 0.1895463466644287, 1.7255914211273193, 1.8535816669464111, 2.1095633506774902, 2.2058041095733643, 3.6936099529266357, 3.8056235313415527, 3.9977219104766846, 4.142208814620972, 5.901717662811279, 6.030457258224487, 6.237709045410156, 6.349682092666626, 9.03783392906189, 9.13379716873169, 9.277825832366943, 9.389941453933716]","[-0.1320188045501709, 0.14821362495422363, -0.1160287857055664, 0.08404731750488281, -0.19588899612426758, 0.40399599075317383, -0.16400837898254395, 1.3001248836517334, -0.2600090503692627]","[-26.40376091003418, 9.880908330281574, -23.20575714111328, 5.603154500325521, -39.177799224853516, 26.93306605021159, -32.80167579650879, 86.67499224344888, -52.00181007385254]"
10,2,3,2,120,0.1723590162065294,17.916539863303857,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5]","[0.0, 0.40010571479797363, 1.9885845184326172, 2.416496992111206, 4.305720329284668, 4.720441818237305, 6.720253229141235, 7.072158575057983, 8.432191848754883, 8.960587739944458]","[0.04195427894592285, 0.169935941696167, 0.4420619010925293, 0.5409049987792969, 2.0305259227752686, 2.1860458850860596, 2.45845365524292, 2.5861310958862305, 4.347673177719116, 4.506211042404175, 4.762397527694702, 4.890280485153198, 6.76220965385437, 6.858160972595215, 7.114114284515381, 7.226125717163086, 8.474148035049438, 8.634273767471313, 9.002542495727539, 9.146149396896362]","[-0.09989428520202637, 0.08847880363464355, -0.07208752632141113, 0.3892233371734619, -0.08527851104736328, 0.49981141090393066, -0.14809465408325195, -0.13996672630310059, 0.028395891189575195]","[-19.978857040405273, 5.898586908976236, -14.417505264282227, 25.948222478230793, -17.055702209472656, 33.32076072692871, -29.61893081665039, -9.331115086873371, 5.679178237915039]"
