trial_number,alpha_id,traj_id,human_ave,overall_ave,human_total,overall_total,human_dim_ave,overall_dim_ave,human_dim_total,overall_dim_total
1,5,1,0.03991292878243096,0.03991292878243096,16.60377837349128,16.60377837349128,"[0.033769295940885284, 0.011175917768274526, 0.014697600692871128]","[0.033769295940885284, 0.011175917768274526, 0.014697600692871128]","[14.048027111408278, 4.649181791602203, 6.11420188823439]","[14.048027111408278, 4.649181791602203, 6.11420188823439]"
2,5,2,0.04122524538086925,0.04122524538086925,17.14970207844161,17.14970207844161,"[0.03211134109984075, 0.014355797726374147, 0.01605884794283307]","[0.03211134109984075, 0.014355797726374147, 0.01605884794283307]","[13.35831789753375, 5.972011854171645, 6.680480744218556]","[13.35831789753375, 5.972011854171645, 6.680480744218556]"
3,5,3,0.03855352108933063,0.03855352108933063,16.03826477316154,16.03826477316154,"[0.030760210005044718, 0.01260440175120652, 0.014562089814931246]","[0.030760210005044718, 0.01260440175120652, 0.014562089814931246]","[12.796247362098603, 5.243431128501912, 6.057829363011399]","[12.796247362098603, 5.243431128501912, 6.057829363011399]"
4,5,4,0.04220847006467687,0.04220847006467687,17.55872354690558,17.55872354690558,"[0.03637894267111284, 0.010002006740357552, 0.014771953228523125]","[0.03637894267111284, 0.010002006740357552, 0.014771953228523125]","[15.133640151182941, 4.160834803988742, 6.14513254306562]","[15.133640151182941, 4.160834803988742, 6.14513254306562]"
5,5,5,0.03868395542554926,0.03868395542554926,16.053841501602943,16.053841501602943,"[0.030996933606233762, 0.010254170446006362, 0.015277901472708829]","[0.030996933606233762, 0.010254170446006362, 0.015277901472708829]","[12.863727446587012, 4.2554807350926405, 6.340329111174164]","[12.863727446587012, 4.2554807350926405, 6.340329111174164]"
6,3,5,0.04761193106436234,0.028567158638617394,19.806563322774732,11.883937993664835,"[0.03392473473267666, 0.011089599520944921, 0.024403384348435125]","[0.020354840839606012, 0.006653759712566944, 0.014642030609061076]","[14.112689648793491, 4.613273400713087, 10.151807888949012]","[8.4676137892761, 2.7679640404278487, 6.091084733369407]"
7,3,3,0.0481975722907676,0.028918543374460585,20.05019007295932,12.030114043775603,"[0.035254286826285716, 0.016871707381512127, 0.018498922000891923]","[0.021152572095771423, 0.010123024428907269, 0.011099353200535143]","[14.665783319734857, 7.018630270709045, 7.69555155237104]","[8.799469991840912, 4.211178162425424, 4.61733093142262]"
8,3,2,0.053428635974915636,0.0320571815849494,22.226312565564903,13.335787539338948,"[0.042310071818831695, 0.009441861611603895, 0.023977526993043143]","[0.025386043091299014, 0.005665116966962343, 0.014386516195825897]","[17.600989876633985, 3.9278144304272207, 9.974651229105948]","[10.56059392598039, 2.356688658256335, 5.984790737463573]"
9,3,4,0.04308948848730623,0.02585369309238374,17.92522721071939,10.755136326431636,"[0.03316204423720335, 0.013663717127280928, 0.014960995799968709]","[0.019897226542322004, 0.008198230276368564, 0.00897659747998124]","[13.795410402676593, 5.684106324948866, 6.223774252786983]","[8.277246241605953, 3.4104637949693224, 3.7342645516721955]"
10,3,1,0.04320871898421168,0.02592523139052701,17.97482709743206,10.784896258459236,"[0.032443739982064825, 0.01563273735840432, 0.01779981524213748]","[0.019466243989238907, 0.009379642415042593, 0.010679889145282489]","[13.496595832538967, 6.503218741096197, 7.4047231407291925]","[8.097957499523385, 3.9019312446577183, 4.4428338844375155]"
11,4,3,0.04367058643919389,0.03493646915135505,18.166963958704656,14.5335711669637,"[0.03506311188266984, 0.011495339066049708, 0.01760482533281618]","[0.028050489506135902, 0.009196271252839769, 0.014083860266252924]","[14.586254543190654, 4.782061051476679, 7.323607338451531]","[11.669003634552535, 3.825648841181344, 5.858885870761217]"
