trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.0265900151561134,0.02230948571009693,0.0265900151561134,11.061446304943175,9.280746055400323,11.061446304943175,"[0.04772941751412839, 0.008448653958533482, 0.02338203726002384]","[0.0, 0.0, 0.02230948571009693]","[0.04772941751412839, 0.008448653958533482, 0.02338203726002384]","[19.85543768587741, 3.5146400467499284, 9.726927500169918]","[0.0, 0.0, 9.280746055400323]","[19.85543768587741, 3.5146400467499284, 9.726927500169918]"
2,5,2,0.019093787894875813,0.025249762842388262,0.019093787894875813,7.943015764268338,10.503901342433517,7.943015764268338,"[0.01182787655432994, 0.0089722550087279, 0.015200872086097255]","[0.0, 0.0, 0.025249762842388262]","[0.01182787655432994, 0.0089722550087279, 0.015200872086097255]","[4.920396646601255, 3.7324580836308066, 6.323562787816458]","[0.0, 0.0, 10.503901342433517]","[4.920396646601255, 3.7324580836308066, 6.323562787816458]"
3,5,3,0.012365233913855949,0.022774016811153555,0.012365233913855949,5.143937308164075,9.473990993439878,5.143937308164075,"[0.009988709511350986, 0.007827673491774767, 0.007581414224739403]","[0.0, 0.0, 0.022774016811153555]","[0.009988709511350986, 0.007827673491774767, 0.007581414224739403]","[4.1553031567220104, 3.256312172578303, 3.153868317491592]","[0.0, 0.0, 9.473990993439878]","[4.1553031567220104, 3.256312172578303, 3.153868317491592]"
4,5,4,0.020786640113906994,0.024430745429344737,0.020786640113906994,8.647242287385309,10.16319009860741,8.647242287385309,"[0.013413260949364113, 0.01464852488297649, 0.011788602817987466]","[0.0, 0.0, 0.024430745429344737]","[0.013413260949364113, 0.01464852488297649, 0.011788602817987466]","[5.579916554935471, 6.0937863513182196, 4.904058772282786]","[0.0, 0.0, 10.16319009860741]","[5.579916554935471, 6.0937863513182196, 4.904058772282786]"
5,5,5,0.014315101554254412,0.023030201832728067,0.014315101554254412,5.940767145015581,9.557533760582148,5.940767145015581,"[0.015842406646539582, 0.008365418863194182, 0.009070365419077655]","[0.0, 0.0, 0.023030201832728067]","[0.015842406646539582, 0.008365418863194182, 0.009070365419077655]","[6.574598758313927, 3.4716488282255855, 3.764201648917227]","[0.0, 0.0, 9.557533760582148]","[6.574598758313927, 3.4716488282255855, 3.764201648917227]"
6,3,5,0.024165996815147504,0.022981845269484304,0.015049007773944217,10.053054675101361,9.56044763210547,6.260387233960794,"[0.014121832101731523, 0.011389998161380858, 0.017941704251758558]","[0.0, 0.0, 0.022981845269484304]","[0.00847309926103893, 0.006833998896828523, 0.011829605658491556]","[5.874682154320314, 4.738239235134437, 7.46374896873156]","[0.0, 0.0, 9.56044763210547]","[3.5248092925921948, 2.8429435410806656, 4.921115953932487]"
7,3,2,0.022004639221821498,0.025249762842388262,0.012627894773595754,9.153929916277743,10.503901342433517,5.253204225815834,"[0.013345362534882497, 0.007330605774115554, 0.018691573598038743]","[0.0, 0.0, 0.025249762842388262]","[0.008007217520929493, 0.0043983634644693325, 0.010012711562835343]","[5.551670814511119, 3.0495320020320706, 7.775694616784117]","[0.0, 0.0, 10.503901342433517]","[3.3310024887066687, 1.8297192012192423, 4.165288010139503]"
8,3,1,0.020991218192687903,0.02230948571009693,0.01182206866574248,8.732346768158168,9.280746055400323,4.917980564948872,"[0.02297396879430646, 0.012933550900913464, 0.013562132742311982]","[0.0, 0.0, 0.02230948571009693]","[0.013784381276583876, 0.007760130540548064, 0.007487170282216409]","[9.557171018431486, 5.380357174780001, 5.641847220801784]","[0.0, 0.0, 9.280746055400323]","[5.734302611058892, 3.2282143048679948, 3.114662837402026]"
9,3,4,0.01708934064966861,0.024430745429344737,0.0111635724135544,7.109165710262141,10.16319009860741,4.64404612403863,"[0.017724496065201666, 0.008625654609484596, 0.012873017783412061]","[0.0, 0.0, 0.024430745429344737]","[0.010634697639121003, 0.005175392765690762, 0.008788192688422094]","[7.373390363123893, 3.5882723175455924, 5.355175397899417]","[0.0, 0.0, 10.16319009860741]","[4.424034217874337, 2.152963390527357, 3.6558881583835907]"
10,3,3,0.031785799849842325,0.022818064630025035,0.01752704142464083,13.191106937684566,9.469496821460389,7.273722191225944,"[0.037184383191361074, 0.016165550173487524, 0.02552213935354266]","[0.0, 0.0, 0.022818064630025035]","[0.022310629914816648, 0.009699330104092524, 0.012985749849881484]","[15.431519024414847, 6.708703321997322, 10.591687831720204]","[0.0, 0.0, 9.469496821460389]","[9.258911414648908, 4.0252219931983975, 5.389086187700816]"
11,5,3,0.014884898292620992,0.022774016811153555,0.014884898292620992,6.192117689730333,9.473990993439878,6.192117689730333,"[0.016449895126602984, 0.010860303851584553, 0.008279073729289581]","[0.0, 0.0, 0.022774016811153555]","[0.016449895126602984, 0.010860303851584553, 0.008279073729289581]","[6.843156372666842, 4.517886402259174, 3.444094671384466]","[0.0, 0.0, 9.473990993439878]","[6.843156372666842, 4.517886402259174, 3.444094671384466]"
12,5,4,0.01564454186626712,0.024430745429344737,0.01564454186626712,6.508129416367121,10.16319009860741,6.508129416367121,"[0.01899029068507101, 0.00881899560863326, 0.01190179164154184]","[0.0, 0.0, 0.024430745429344737]","[0.01899029068507101, 0.00881899560863326, 0.01190179164154184]","[7.89996092498954, 3.668702173191436, 4.9511453228814055]","[0.0, 0.0, 10.16319009860741]","[7.89996092498954, 3.668702173191436, 4.9511453228814055]"
13,5,2,0.01749667948382116,0.025249762842388262,0.01749667948382116,7.278618665269603,10.503901342433517,7.278618665269603,"[0.030659542099333012, 0.010014501912547923, 0.01312523553921798]","[0.0, 0.0, 0.025249762842388262]","[0.030659542099333012, 0.010014501912547923, 0.01312523553921798]","[12.754369513322533, 4.166032795619936, 5.46009798431468]","[0.0, 0.0, 10.503901342433517]","[12.754369513322533, 4.166032795619936, 5.46009798431468]"
14,5,1,0.018810711930036386,0.02230948571009693,0.018810711930036386,7.825256162895137,9.280746055400323,7.825256162895137,"[0.015342672752552886, 0.010168881372402976, 0.013320808069870264]","[0.0, 0.0, 0.02230948571009693]","[0.015342672752552886, 0.010168881372402976, 0.013320808069870264]","[6.382551865062001, 4.230254650919638, 5.54145615706603]","[0.0, 0.0, 9.280746055400323]","[6.382551865062001, 4.230254650919638, 5.54145615706603]"
15,5,5,0.024404361688487343,0.022981845269484304,0.024404361688487343,10.152214462410734,9.56044763210547,10.152214462410734,"[0.03325375375515738, 0.014475071452257255, 0.01582647366002725]","[0.0, 0.0, 0.022981845269484304]","[0.03325375375515738, 0.014475071452257255, 0.01582647366002725]","[13.83356156214547, 6.021629724139018, 6.583813042571336]","[0.0, 0.0, 9.56044763210547]","[13.83356156214547, 6.021629724139018, 6.583813042571336]"
16,4,4,0.01638677305641655,0.024430745429344737,0.013579927290529077,6.816897591469284,10.16319009860741,5.649249752860096,"[0.026390148378347324, 0.010321970642302697, 0.011482018947906434]","[0.0, 0.0, 0.024430745429344737]","[0.02111211870267786, 0.008257576513842154, 0.009693458996388129]","[10.978301725392487, 4.293939787197922, 4.776519882329077]","[0.0, 0.0, 10.16319009860741]","[8.78264138031399, 3.435151829758336, 4.032478942497462]"
17,4,1,0.022476979562123692,0.02230948571009693,0.01784460554416721,9.350423497843456,9.280746055400323,7.423355906373559,"[0.014811979131509214, 0.015077022371322357, 0.014571711667140443]","[0.0, 0.0, 0.02230948571009693]","[0.011849583305207372, 0.012061617897057888, 0.011473391955256955]","[6.161783318707833, 6.272041306470101, 6.061832053530424]","[0.0, 0.0, 9.280746055400323]","[4.929426654966266, 5.0176330451760816, 4.772931053386893]"
18,4,3,0.014900539056487446,0.022818064630025035,0.011579411353007683,6.18372370844229,9.469496821460389,4.805455711498189,"[0.016015458629289638, 0.009381496774024183, 0.009983355120689881]","[0.0, 0.0, 0.022818064630025035]","[0.012812366903431717, 0.007505197419219348, 0.007493015458809704]","[6.6464153311551994, 3.8933211612200362, 4.143092375086301]","[0.0, 0.0, 9.469496821460389]","[5.317132264924163, 3.1146569289760295, 3.1096014154060274]"
