trial_number,alpha_id,traj_id,human_ave,overall_ave,human_total,overall_total,human_dim_ave,overall_dim_ave,human_dim_total,overall_dim_total
1,5,1,0.04340240791610819,0.04340240791610819,18.055401693101008,18.055401693101008,"[0.03251247374330828, 0.023588868165109075, 0.03179452633533809]","[0.03251247374330828, 0.023588868165109075, 0.03179452633533809]","[13.525189077216245, 9.812969156685375, 13.226522955500645]","[13.525189077216245, 9.812969156685375, 13.226522955500645]"
2,5,2,0.029427937320144402,0.029427937320144402,12.212593987859927,12.212593987859927,"[0.0370696256268, 0.016135124747364876, 0.022842730781202684]","[0.0370696256268, 0.016135124747364876, 0.022842730781202684]","[15.383894635122001, 6.696076770156424, 9.479733274199114]","[15.383894635122001, 6.696076770156424, 9.479733274199114]"
3,5,3,0.019914596584661416,0.019914596584661416,8.284472179219149,8.284472179219149,"[0.019957559019744074, 0.008375755300748942, 0.016281705778859595]","[0.019957559019744074, 0.008375755300748942, 0.016281705778859595]","[8.302344552213535, 3.48431420511156, 6.773189604005592]","[8.302344552213535, 3.48431420511156, 6.773189604005592]"
4,5,4,0.03144381996473898,0.03144381996473898,13.080629105331415,13.080629105331415,"[0.028236924147020392, 0.01732174119355155, 0.024171205443165814]","[0.028236924147020392, 0.01732174119355155, 0.024171205443165814]","[11.746560445160483, 7.205844336517446, 10.055221464356979]","[11.746560445160483, 7.205844336517446, 10.055221464356979]"
5,5,5,0.049244000311507,0.049244000311507,20.48550412958691,20.48550412958691,"[0.06903020101240162, 0.028223573787622143, 0.03649075614901935]","[0.06903020101240162, 0.028223573787622143, 0.03649075614901935]","[28.716563621159075, 11.741006695650812, 15.180154557992049]","[28.716563621159075, 11.741006695650812, 15.180154557992049]"
6,3,3,0.131812445519845,0.07908746731190701,54.833977336255515,32.900386401753316,"[0.022164360861384926, 0.11370335530602085, 0.057517211484808164]","[0.013298616516830961, 0.06822201318361247, 0.034510326890884895]","[9.22037411833613, 47.300595807304674, 23.927159977680198]","[5.53222447100168, 28.380357484382788, 14.356295986608117]"
7,3,2,0.09484347699066147,0.05690608619439681,39.360042951124505,23.61602577067468,"[0.017707031373132905, 0.0799344524425061, 0.04070402664569741]","[0.010624218823879747, 0.04796067146550365, 0.02442241598741847]","[7.348418019850155, 33.172797763640034, 16.892171057964426]","[4.409050811910095, 19.903678658184017, 10.135302634778665]"
8,3,1,0.09915564208129132,0.05949338524877476,41.24874710581719,24.7492482634903,"[0.01812220144720122, 0.06905116214039236, 0.05797465224334065]","[0.010873320868320734, 0.041430697284235395, 0.0347847913460044]","[7.538835802035709, 28.72528345040322, 24.11745533322971]","[4.523301481221425, 17.235170070241924, 14.470473199937832]"
9,3,4,0.07003230676699493,0.04201938406019696,29.13343961506989,17.480063769041934,"[0.020389175964889174, 0.05638327905694031, 0.031760821864595334]","[0.012233505578933483, 0.033829967434164186, 0.01905649311875722]","[8.481897201393897, 23.45544408768717, 13.21250189567166]","[5.089138320836329, 14.073266452612302, 7.927501137403003]"
10,3,5,0.03945103013499219,0.023670618080995347,16.41162853615675,9.846977121694064,"[0.020316982467945218, 0.02615128227873465, 0.026789625966522193]","[0.012190189480767121, 0.0156907693672408, 0.016073775579913324]","[8.45186470666521, 10.878933427953616, 11.144484402073232]","[5.0711188239991225, 6.527360056772173, 6.686690641243943]"
