pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_someone,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave
11,5,6,3,inc,0.4,low,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.75,3.75,3.75
11,5,6,3,inc,0.0,low,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.75,2.0,2.375
11,5,6,3,inc,0.2,low,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0
11,5,6,3,inc,0.6,high,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.75,5.5,5.625
11,5,6,3,inc,0.8,high,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.75,5.25,5.5
12,6,7,5,dec,0.4,low,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.25,3.0,3.125
12,6,7,5,dec,0.6,high,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
12,6,7,5,dec,0.8,high,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
12,6,7,5,dec,0.0,low,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.125
12,6,7,5,dec,0.2,low,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13,7,7,2,inc,0.4,low,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
13,7,7,2,inc,0.0,low,2.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,2.5,2.25,2.375
13,7,7,2,inc,0.2,low,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.75,3.25,3.5
13,7,7,2,inc,0.6,high,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.5,4.5,4.5
13,7,7,2,inc,0.8,high,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
14,6,6,2,dec,0.4,low,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
14,6,6,2,dec,0.6,high,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
14,6,6,2,dec,0.8,high,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.5,6.75,6.625
14,6,6,2,dec,0.0,low,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.75,1.875
14,6,6,2,dec,0.2,low,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.5,5.0,4.75
15,6,5,4,inc,0.4,low,5.0,4.0,5.0,4.0,3.0,4.0,6.0,5.0,4.75,4.25,4.5
15,6,5,4,inc,0.0,low,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.25,3.125
15,6,5,4,inc,0.2,low,5.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,4.75,4.875
15,6,5,4,inc,0.6,high,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.75,5.75,5.75
15,6,5,4,inc,0.8,high,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.5,6.5,6.5
16,5,1,1,dec,0.4,low,4.0,5.0,3.0,5.0,4.0,5.0,6.0,6.0,4.25,5.25,4.75
16,5,1,1,dec,0.6,high,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.5,6.75,6.625
16,5,1,1,dec,0.8,high,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.75,7.0,6.875
16,5,1,1,dec,0.0,low,3.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.25,2.5,2.375
16,5,1,1,dec,0.2,low,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,3.75,4.5,4.125
17,5,5,1,inc,0.4,low,3.0,5.0,4.0,7.0,7.0,3.0,4.0,7.0,4.5,5.5,5.0
17,5,5,1,inc,0.0,low,3.0,5.0,3.0,7.0,7.0,5.0,2.0,7.0,3.75,6.0,4.875
17,5,5,1,inc,0.2,low,4.0,5.0,4.0,2.0,7.0,4.0,2.0,2.0,4.25,3.25,3.75
17,5,5,1,inc,0.6,high,6.0,6.0,5.0,6.0,4.0,5.0,4.0,4.0,4.75,5.25,5.0
17,5,5,1,inc,0.8,high,6.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,5.75,6.5,6.125
18,3,6,1,dec,0.4,low,3.0,3.0,7.0,2.0,1.0,2.0,2.0,1.0,3.25,2.0,2.625
18,3,6,1,dec,0.6,high,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.75,5.0,4.875
18,3,6,1,dec,0.8,high,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.5,6.0,5.75
18,3,6,1,dec,0.0,low,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.75,4.75,4.75
18,3,6,1,dec,0.2,low,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
19,6,7,5,inc,0.4,low,6.0,5.0,6.0,5.0,2.0,3.0,5.0,5.0,4.75,4.5,4.625
19,6,7,5,inc,0.0,low,5.0,5.0,5.0,5.0,3.0,6.0,6.0,5.0,4.75,5.25,5.0
19,6,7,5,inc,0.2,low,5.0,5.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0,5.5,5.25
19,6,7,5,inc,0.6,high,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.75,5.375
19,6,7,5,inc,0.8,high,6.0,7.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.25,6.125
20,6,1,2,dec,0.4,low,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.5,1.5,1.5
20,6,1,2,dec,0.6,high,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.75,1.75,1.75
20,6,1,2,dec,0.8,high,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.5,2.75,2.625
