trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.033883927,0.022309486,0.033883927,14.09571357,9.280746055,14.09571357,"[0.09845328342853737, 0.012265961738122473, 0.03004789652692916]","[0.0, 0.0, 0.02230948571009693]","[0.09845328342853737, 0.012265961738122473, 0.03004789652692916]","[40.95656590627155, 5.102640083058949, 12.49992495520253]","[0.0, 0.0, 9.280746055400323]","[40.95656590627155, 5.102640083058949, 12.49992495520253]"
2,5,2,0.019946086,0.025246027,0.019946086,8.277625814,10.4771013,8.277625814,"[0.07864743330290358, 0.011428850928635974, 0.014394874599456051]","[0.0, 0.0, 0.025246027218509284]","[0.07864743330290358, 0.011428850928635974, 0.014394874599456051]","[32.63868482070499, 4.742973135383929, 5.973872958774261]","[0.0, 0.0, 10.477101295681353]","[32.63868482070499, 4.742973135383929, 5.973872958774261]"
3,5,3,0.0216343,0.022774017,0.0216343,8.999868835,9.473990993,8.999868835,"[0.08333962298584661, 0.0136581713641897, 0.014530154023911295]","[0.0, 0.0, 0.022774016811153555]","[0.08333962298584661, 0.0136581713641897, 0.014530154023911295]","[34.669283162112194, 5.681799287502915, 6.044544073947098]","[0.0, 0.0, 9.473990993439878]","[34.669283162112194, 5.681799287502915, 6.044544073947098]"
4,5,4,0.023130584,0.024430745,0.023130584,9.622323065,10.1631901,9.622323065,"[0.04759309278911531, 0.011370297778455931, 0.018056333760297572]","[0.0, 0.0, 0.024430745429344737]","[0.04759309278911531, 0.011370297778455931, 0.018056333760297572]","[19.79872660027197, 4.7300438758376675, 7.51143484428379]","[0.0, 0.0, 10.16319009860741]","[19.79872660027197, 4.7300438758376675, 7.51143484428379]"
5,5,5,0.025165733,0.022981845,0.025165733,10.46894494,9.560447632,10.46894494,"[0.07665929427934359, 0.01284438930684418, 0.019549787901956776]","[0.0, 0.0, 0.022981845269484304]","[0.07665929427934359, 0.01284438930684418, 0.019549787901956776]","[31.890266420206935, 5.3432659516471785, 8.132711767214019]","[0.0, 0.0, 9.56044763210547]","[31.890266420206935, 5.3432659516471785, 8.132711767214019]"
6,3,5,0.019210325,0.022981845,0.014552494,7.991495089,9.560447632,6.053837577,"[0.07727229607915045, 0.010119052433757826, 0.014621223325854492]","[0.0, 0.0, 0.022981845269484304]","[0.04636337764749026, 0.00607143146025469, 0.012135823753922748]","[32.14527516892659, 4.209525812443256, 6.082428903555469]","[0.0, 0.0, 9.56044763210547]","[19.28716510135595, 2.525715487465951, 5.048502681631863]"
7,3,3,0.019021622,0.022774017,0.014105519,7.912994734,9.473990993,5.867896059,"[0.04539977330762817, 0.007429616820610218, 0.016132054109306293]","[0.0, 0.0, 0.022774016811153555]","[0.027239863984576895, 0.004457770092366128, 0.012646918274730424]","[18.88630569597332, 3.0907205973738505, 6.710934509471418]","[0.0, 0.0, 9.473990993439878]","[11.331783417583988, 1.8544323584243094, 5.261118002287857]"
8,3,4,0.016221083,0.024476516,0.012753459,6.731749455,10.15775399,5.29268528,"[0.04667238505383717, 0.010054071417009564, 0.010700754276220902]","[0.0, 0.0, 0.024476515649908395]","[0.028003431032302285, 0.006032442850205745, 0.010237419030843416]","[19.369039797342424, 4.172439638058969, 4.440813024631674]","[0.0, 0.0, 10.157753994711983]","[11.621423878405448, 2.503463782835384, 4.248528897800018]"
9,3,1,0.02347925,0.022309486,0.013839418,9.767367957,9.280746055,5.757197733,"[0.042777764926134026, 0.009046181833665175, 0.019107068702097576]","[0.0, 0.0, 0.02230948571009693]","[0.02566665895568041, 0.005427709100199111, 0.011169712443278948]","[17.795550209271756, 3.7632116428047127, 7.948540580072592]","[0.0, 0.0, 9.280746055400323]","[10.677330125563051, 2.2579269856828303, 4.646600376404042]"
10,3,2,0.023581088,0.025249763,0.014198568,9.809732474,10.50390134,5.906604188,"[0.007621020580719229, 0.008833492094111165, 0.019733325611051247]","[0.0, 0.0, 0.025249762842388262]","[0.004572612348431538, 0.005300095256466699, 0.011580966995949443]","[3.170344561579199, 3.6747327111502446, 8.209063454197318]","[0.0, 0.0, 10.503901342433517]","[1.9022067369475197, 2.2048396266901467, 4.817682270314968]"
11,2,2,0.024244699,0.025249763,0.014513108,10.08579465,10.50390134,6.037452822,"[0.013308883566310225, 0.007970723425163856, 0.020844648850512473]","[0.0, 0.0, 0.025249762842388262]","[0.005323553426524088, 0.003188289370065545, 0.013712727657958753]","[5.536495563585054, 3.315820944868164, 8.671373921813188]","[0.0, 0.0, 10.503901342433517]","[2.2145982254340204, 1.3263283779472668, 5.704494705710841]"
12,2,1,0.02018613,0.022336905,0.011455244,8.377243824,9.269815371,4.753926137,"[0.022607350888536125, 0.00650632261610263, 0.017984761223919916]","[0.0, 0.0, 0.02233690450840456]","[0.009042940355414449, 0.0026025290464410525, 0.01046881862210469]","[9.382050618742491, 2.7001238856825913, 7.463675907926765]","[0.0, 0.0, 9.269815370987892]","[3.7528202474969965, 1.0800495542730368, 4.344559728173446]"
13,2,5,0.022308886,0.022981845,0.014629094,9.28049678,9.560447632,6.085703263,"[0.031130351642493597, 0.010604893834193715, 0.018094720753107744]","[0.0, 0.0, 0.022981845269484304]","[0.012452140656997438, 0.004241957533677483, 0.01314921363684419]","[12.950226283277336, 4.411635835024585, 7.527403833292821]","[0.0, 0.0, 9.56044763210547]","[5.180090513310934, 1.7646543340098328, 5.470072872927183]"
14,2,4,0.020236251,0.024430745,0.014377845,8.41828049,10.1631901,5.981183536,"[0.015698261868109256, 0.00660069798185912, 0.017649404023740205]","[0.0, 0.0, 0.024430745429344737]","[0.006279304747243703, 0.002640279192743647, 0.01360959358250368]","[6.530476937133451, 2.745890360453394, 7.342152073875925]","[0.0, 0.0, 10.16319009860741]","[2.6121907748533806, 1.0983561441813572, 5.661590930321531]"
15,2,3,0.025588668,0.022774017,0.016059201,10.64488596,9.473990993,6.680627685,"[0.016798500915191136, 0.013142121634516576, 0.019640102923524947]","[0.0, 0.0, 0.022774016811153555]","[0.00671940036607646, 0.005256848653806639, 0.014574696479313459]","[6.988176380719513, 5.467122599958896, 8.170282816186377]","[0.0, 0.0, 9.473990993439878]","[2.7952705522878074, 2.186849039983562, 6.063073735394399]"
16,1,1,0.029705608,0.022309486,0.017973805,12.35753297,9.280746055,7.477103003,"[0.06247604907685105, 0.01994110793812193, 0.0173280603335931]","[0.0, 0.0, 0.02230948571009693]","[0.012495209815370202, 0.003988221587624382, 0.01696073251413729]","[25.99003641597004, 8.295500902258723, 7.208473098774729]","[0.0, 0.0, 9.280746055400323]","[5.198007283194004, 1.6591001804517427, 7.055664725881113]"
17,1,4,0.042971972,0.024430745,0.021844723,17.87634033,10.1631901,9.087404898,"[0.045307059484410536, 0.03090413385178225, 0.023551159340581107]","[0.0, 0.0, 0.024430745429344737]","[0.009061411896882102, 0.006180826770356459, 0.019647243088797735]","[18.847736745514784, 12.856119682341415, 9.79728228568174]","[0.0, 0.0, 10.16319009860741]","[3.7695473491029543, 2.5712239364682867, 8.173253124939858]"
18,1,3,0.028885439,0.022774017,0.019807963,12.01634257,9.473990993,8.240112499,"[0.041475236061897104, 0.012743689885521723, 0.02195344936432651]","[0.0, 0.0, 0.022774016811153555]","[0.008295047212379425, 0.0025487379771043438, 0.0193315130691803]","[17.253698201749195, 5.301374992377037, 9.132634935559828]","[0.0, 0.0, 9.473990993439878]","[3.4507396403498407, 1.060274998475407, 8.041909436779004]"
