trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.033046231036342244,0.02230948571009693,0.033046231036342244,13.747232111118374,9.280746055400323,13.747232111118374,"[0.03484457515380775, 0.017218709750144116, 0.023710336658665128]","[0.0, 0.0, 0.02230948571009693]","[0.03484457515380775, 0.017218709750144116, 0.023710336658665128]","[14.495343263984024, 7.162983256059952, 9.863500050004694]","[0.0, 0.0, 9.280746055400323]","[14.495343263984024, 7.162983256059952, 9.863500050004694]"
2,5,2,0.027247630587591585,0.025249762842388262,0.027247630587591585,11.335014324438099,10.503901342433517,11.335014324438099,"[0.009909473588851787, 0.010982387488935392, 0.023602214345185533]","[0.0, 0.0, 0.025249762842388262]","[0.009909473588851787, 0.010982387488935392, 0.023602214345185533]","[4.122341012962344, 4.568673195397123, 9.818521167597181]","[0.0, 0.0, 10.503901342433517]","[4.122341012962344, 4.568673195397123, 9.818521167597181]"
3,5,3,0.025388571585745243,0.022774016811153555,0.025388571585745243,10.561645779670021,9.473990993439878,10.561645779670021,"[0.010669288649976221, 0.012090235398692507, 0.019585034438356987]","[0.0, 0.0, 0.022774016811153555]","[0.010669288649976221, 0.012090235398692507, 0.019585034438356987]","[4.438424078390108, 5.029537925856083, 8.147374326356507]","[0.0, 0.0, 9.473990993439878]","[4.438424078390108, 5.029537925856083, 8.147374326356507]"
4,5,4,0.015081678838899725,0.024476515649908395,0.015081678838899725,6.258896718143386,10.157753994711983,6.258896718143386,"[0.04515417600688089, 0.011080280764131367, 0.008459492364272953]","[0.0, 0.0, 0.024476515649908395]","[0.04515417600688089, 0.011080280764131367, 0.008459492364272953]","[18.73898304285557, 4.598316517114517, 3.5106893311732756]","[0.0, 0.0, 10.157753994711983]","[18.73898304285557, 4.598316517114517, 3.5106893311732756]"
5,5,5,0.019549016336767474,0.022981845269484304,0.019549016336767474,8.132390796095269,9.56044763210547,8.132390796095269,"[0.02905838514899539, 0.011132296982948401, 0.013134702099642716]","[0.0, 0.0, 0.022981845269484304]","[0.02905838514899539, 0.011132296982948401, 0.013134702099642716]","[12.088288221982083, 4.631035544906535, 5.4640360734513695]","[0.0, 0.0, 9.56044763210547]","[12.088288221982083, 4.631035544906535, 5.4640360734513695]"
6,3,5,0.026392029010461594,0.022981845269484304,0.01559121326721031,10.979084068352023,9.56044763210547,6.485944719159489,"[0.011708390907278172, 0.016299420797921845, 0.017699363526248544]","[0.0, 0.0, 0.022981845269484304]","[0.007025034544366911, 0.009779652478753108, 0.010505206208838823]","[4.870690617427719, 6.780559051935487, 7.362935226919394]","[0.0, 0.0, 9.56044763210547]","[2.922414370456635, 4.068335431161293, 4.37016578287695]"
7,3,4,0.025780890888652565,0.024430745429344737,0.0164390531406766,10.724850609679468,10.16319009860741,6.838646106521466,"[0.06292287346435371, 0.011813032649153577, 0.02140354072075647]","[0.0, 0.0, 0.024430745429344737]","[0.03775372407861223, 0.007087819589492155, 0.013471384250486385]","[26.175915361171146, 4.9142215820478885, 8.903872939834692]","[0.0, 0.0, 10.16319009860741]","[15.705549216702689, 2.9485329492287367, 5.604095848202336]"
8,3,2,0.024350284091194812,0.025246027218509284,0.013160226177294588,10.105367897845847,10.477101295681353,5.461493863577254,"[0.008358608177037532, 0.009816723277491862, 0.020009576714388633]","[0.0, 0.0, 0.025246027218509284]","[0.005015164906222517, 0.005890033966495116, 0.010119859202426971]","[3.4688223934705755, 4.073940160159123, 8.303974336471283]","[0.0, 0.0, 10.477101295681353]","[2.0812934360823445, 2.444364096095473, 4.199741569007193]"
9,3,1,0.028992536272029183,0.02230948571009693,0.014922623810404127,12.06089508916414,9.280746055400323,6.207811505128117,"[0.03472119534023413, 0.017170212131035784, 0.02191745505242869]","[0.0, 0.0, 0.02230948571009693]","[0.020832717204140466, 0.010302127278621488, 0.010197646321499996]","[14.444017261537399, 7.142808246510886, 9.117661301810335]","[0.0, 0.0, 9.280746055400323]","[8.666410356922434, 4.285684947906539, 4.242220869743998]"
10,3,3,0.02331008871401792,0.022774016811153555,0.016542832020225436,9.696996905031455,9.473990993439878,6.881818120413781,"[0.013967948337119191, 0.01011545430266218, 0.019702820620547408]","[0.0, 0.0, 0.022774016811153555]","[0.008380769002271516, 0.006069272581597313, 0.014421242525870485]","[5.810666508241583, 4.208028989907467, 8.196373378147722]","[0.0, 0.0, 9.473990993439878]","[3.4863999049449506, 2.5248173939444825, 5.999236890762122]"
11,5,3,0.024688549646014468,0.022774016811153555,0.024688549646014468,10.270436652742019,9.473990993439878,10.270436652742019,"[0.01667285729447806, 0.010248396007338425, 0.020231957006140684]","[0.0, 0.0, 0.022774016811153555]","[0.01667285729447806, 0.010248396007338425, 0.020231957006140684]","[6.935908634502872, 4.263332739052784, 8.416494114554524]","[0.0, 0.0, 9.473990993439878]","[6.935908634502872, 4.263332739052784, 8.416494114554524]"
12,5,1,0.024608254491660465,0.02230948571009693,0.024608254491660465,10.237033868530753,9.280746055400323,10.237033868530753,"[0.019210047255922794, 0.011914971337271237, 0.018616797843969596]","[0.0, 0.0, 0.02230948571009693]","[0.019210047255922794, 0.011914971337271237, 0.018616797843969596]","[7.991379658463882, 4.956628076304835, 7.744587903091352]","[0.0, 0.0, 9.280746055400323]","[7.991379658463882, 4.956628076304835, 7.744587903091352]"
13,5,5,0.021930334532660425,0.022981845269484304,0.021930334532660425,9.123019165586737,9.56044763210547,9.123019165586737,"[0.0155953626194398, 0.008318068710792543, 0.018673740891848763]","[0.0, 0.0, 0.022981845269484304]","[0.0155953626194398, 0.008318068710792543, 0.018673740891848763]","[6.487670849686957, 3.4603165836896976, 7.768276211009086]","[0.0, 0.0, 9.56044763210547]","[6.487670849686957, 3.4603165836896976, 7.768276211009086]"
14,5,2,0.019545770866159305,0.025249762842388262,0.019545770866159305,8.13104068032227,10.503901342433517,8.13104068032227,"[0.0064407848955180275, 0.009908087373261995, 0.01535257413513922]","[0.0, 0.0, 0.025249762842388262]","[0.0064407848955180275, 0.009908087373261995, 0.01535257413513922]","[2.6793665165354996, 4.12176434727699, 6.386670840217915]","[0.0, 0.0, 10.503901342433517]","[2.6793665165354996, 4.12176434727699, 6.386670840217915]"
