trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.033999098761132024,0.02230948571009693,0.033999098761132024,14.143625084630923,9.280746055400323,14.143625084630923,"[0.015462048635077986, 0.024805238437448567, 0.01958978138069907]","[0.0, 0.0, 0.02230948571009693]","[0.015462048635077986, 0.024805238437448567, 0.01958978138069907]","[6.432212232192442, 10.318979189978604, 8.149349054370813]","[0.0, 0.0, 9.280746055400323]","[6.432212232192442, 10.318979189978604, 8.149349054370813]"
2,5,2,0.016114523619869855,0.025249762842388262,0.016114523619869855,6.70364182586586,10.503901342433517,6.70364182586586,"[0.020448785704822066, 0.009833556656661586, 0.011008903429485425]","[0.0, 0.0, 0.025249762842388262]","[0.020448785704822066, 0.009833556656661586, 0.011008903429485425]","[8.50669485320598, 4.09075956917122, 4.579703826665937]","[0.0, 0.0, 10.503901342433517]","[8.50669485320598, 4.09075956917122, 4.579703826665937]"
3,5,3,0.02048452702416465,0.0228285870338594,0.02048452702416465,8.50107871502833,9.47386361905165,8.50107871502833,"[0.016762010346946955, 0.014054695139666503, 0.012431610637102406]","[0.0, 0.0, 0.0228285870338594]","[0.016762010346946955, 0.014054695139666503, 0.012431610637102406]","[6.956234293982986, 5.832698482961598, 5.159118414397499]","[0.0, 0.0, 9.47386361905165]","[6.956234293982986, 5.832698482961598, 5.159118414397499]"
4,5,4,0.013907175586022568,0.024430745429344737,0.013907175586022568,5.785385043785388,10.16319009860741,5.785385043785388,"[0.016505731838358774, 0.009680886551720187, 0.007747137816133494]","[0.0, 0.0, 0.024430745429344737]","[0.016505731838358774, 0.009680886551720187, 0.007747137816133494]","[6.866384444757251, 4.0272488055155975, 3.2228093315115336]","[0.0, 0.0, 10.16319009860741]","[6.866384444757251, 4.0272488055155975, 3.2228093315115336]"
5,5,5,0.017585126348742434,0.022981845269484304,0.017585126348742434,7.315412561076853,9.56044763210547,7.315412561076853,"[0.022542264810466877, 0.009819821172531835, 0.013129683231055875]","[0.0, 0.0, 0.022981845269484304]","[0.022542264810466877, 0.009819821172531835, 0.013129683231055875]","[9.377582161154221, 4.085045607773243, 5.4619482241192445]","[0.0, 0.0, 9.56044763210547]","[9.377582161154221, 4.085045607773243, 5.4619482241192445]"
6,3,3,0.0275290828492274,0.022774016811153555,0.01581615835450021,11.452098465278599,9.473990993439878,6.5795218754720874,"[0.04255832298296224, 0.011143842487709705, 0.023244533737261968]","[0.0, 0.0, 0.022774016811153555]","[0.02553499378977734, 0.006686305492625818, 0.012985935663674062]","[17.704262360912292, 4.635838474887238, 9.669726034700979]","[0.0, 0.0, 9.473990993439878]","[10.622557416547373, 2.78150308493234, 5.40214923608841]"
7,3,4,0.023201310226974445,0.024430745429344737,0.016295381653141008,9.651745054421369,10.16319009860741,6.778878767706659,"[0.04395818366380167, 0.018375566549578656, 0.011693185960215497]","[0.0, 0.0, 0.024430745429344737]","[0.02637491019828101, 0.011025339929747198, 0.010361566685583688]","[18.286604404141496, 7.644235684624721, 4.864365359449647]","[0.0, 0.0, 10.16319009860741]","[10.9719626424849, 4.586541410774834, 4.310411741202814]"
8,3,2,0.02158963685520461,0.025246027218509284,0.01366796177664974,8.959699294909914,10.477101295681353,5.672204137309643,"[0.014609114886040872, 0.009490681830145542, 0.018147755596888755]","[0.0, 0.0, 0.025246027218509284]","[0.008765468931624523, 0.005694409098087324, 0.011197250941609314]","[6.062782677706962, 3.9386329595103997, 7.531318572708833]","[0.0, 0.0, 10.477101295681353]","[3.637669606624177, 2.3631797757062394, 4.646859140767865]"
9,3,1,0.028027114980596773,0.02230948571009693,0.015557438967802893,11.659279831928258,9.280746055400323,6.471894610606004,"[0.022398233756349976, 0.019127627926052534, 0.015537477676062164]","[0.0, 0.0, 0.02230948571009693]","[0.01343894025380998, 0.01147657675563153, 0.007952127364403436]","[9.31766524264159, 7.957093217237854, 6.46359071324186]","[0.0, 0.0, 9.280746055400323]","[5.590599145584951, 4.774255930342717, 3.3080849835918293]"
10,3,5,0.01935490605663868,0.022981845269484304,0.014503407625791812,8.051640919561692,9.56044763210547,6.033417572329394,"[0.023637920402216208, 0.009148260985491308, 0.014694382996542328]","[0.0, 0.0, 0.022981845269484304]","[0.014182752241329736, 0.005488956591294782, 0.012059330973908756]","[9.833374887321943, 3.8056765699643846, 6.112863326561609]","[0.0, 0.0, 9.56044763210547]","[5.90002493239317, 2.2834059419786294, 5.016681685146042]"
11,5,5,0.021881970552768894,0.02298376226200014,0.021881970552768894,9.08101777939909,9.53826133873006,9.08101777939909,"[0.011281457512470821, 0.010776856218529461, 0.01723601748628951]","[0.0, 0.0, 0.02298376226200014]","[0.011281457512470821, 0.010776856218529461, 0.01723601748628951]","[4.681804867675391, 4.472395330689727, 7.1529472568101475]","[0.0, 0.0, 9.53826133873006]","[4.681804867675391, 4.472395330689727, 7.1529472568101475]"
12,5,1,0.02160743846372964,0.02230948571009693,0.02160743846372964,8.98869440091153,9.280746055400323,8.98869440091153,"[0.035497542682063586, 0.01307348229636344, 0.015762762634512248]","[0.0, 0.0, 0.02230948571009693]","[0.035497542682063586, 0.01307348229636344, 0.015762762634512248]","[14.766977755738452, 5.438568635287191, 6.557309255957095]","[0.0, 0.0, 9.280746055400323]","[14.766977755738452, 5.438568635287191, 6.557309255957095]"
13,5,4,0.0182685462032724,0.024430745429344737,0.0182685462032724,7.599715220561317,10.16319009860741,7.599715220561317,"[0.010829541127587505, 0.010631582852382259, 0.01271709276035148]","[0.0, 0.0, 0.024430745429344737]","[0.010829541127587505, 0.010631582852382259, 0.01271709276035148]","[4.505089109076402, 4.42273846659102, 5.290310588306216]","[0.0, 0.0, 10.16319009860741]","[4.505089109076402, 4.42273846659102, 5.290310588306216]"
14,5,3,0.016765347489955958,0.0228285870338594,0.016765347489955958,6.957619208331722,9.47386361905165,6.957619208331722,"[0.0229322084142523, 0.009991847647167252, 0.012003405243310063]","[0.0, 0.0, 0.0228285870338594]","[0.0229322084142523, 0.009991847647167252, 0.012003405243310063]","[9.516866491914705, 4.14661677357441, 4.981413175973676]","[0.0, 0.0, 9.47386361905165]","[9.516866491914705, 4.14661677357441, 4.981413175973676]"
15,5,2,0.02014724448767874,0.025249762842388262,0.02014724448767874,8.381253706874356,10.503901342433517,8.381253706874356,"[0.03354236560944026, 0.0119039358070867, 0.014876390262711876]","[0.0, 0.0, 0.025249762842388262]","[0.03354236560944026, 0.0119039358070867, 0.014876390262711876]","[13.953624093527148, 4.952037295748068, 6.18857834928814]","[0.0, 0.0, 10.503901342433517]","[13.953624093527148, 4.952037295748068, 6.18857834928814]"
16,4,1,0.023119709821893392,0.02230948571009693,0.016947316786539254,9.617799285907651,9.280746055400323,7.05008378320033,"[0.020144722684880125, 0.015687915775204758, 0.013060158952406134]","[0.0, 0.0, 0.02230948571009693]","[0.01611577814790412, 0.012550332620163805, 0.008810868848347546]","[8.380204636910133, 6.526172962485179, 5.433026124200952]","[0.0, 0.0, 9.280746055400323]","[6.704163709528114, 5.220938369988143, 3.6653214409125794]"
17,4,2,0.02690102565843748,0.025246027218509284,0.022825078189583098,11.163925648251555,10.477101295681353,9.472407448676986,"[0.05131077916208725, 0.019775831771124824, 0.015957970576739852]","[0.0, 0.0, 0.025246027218509284]","[0.04104862332966978, 0.015820665416899863, 0.014727284244160255]","[21.293973352266207, 8.206970185016802, 6.622557789347039]","[0.0, 0.0, 10.477101295681353]","[17.03517868181296, 6.565576148013443, 6.111822961326506]"
