trial_number,alpha_id,traj_id,human_ave,overall_ave,human_total,overall_total,human_dim_ave,overall_dim_ave,human_dim_total,overall_dim_total
1,5,1,0.017256135039275037,0.017256135039275037,7.178552176338416,7.178552176338416,"[0.018914395617405075, 0.01013128290688117, 0.012520716395875098]","[0.018914395617405075, 0.01013128290688117, 0.012520716395875098]","[7.868388576840512, 4.214613689262566, 5.208618020684041]","[7.868388576840512, 4.214613689262566, 5.208618020684041]"
2,5,2,0.021624445972540856,0.021624445972540856,8.995769524576996,8.995769524576996,"[0.014378147087686737, 0.0094190470246095, 0.01800778876142438]","[0.014378147087686737, 0.0094190470246095, 0.01800778876142438]","[5.981309188477683, 3.918323562237552, 7.491240124752541]","[5.981309188477683, 3.918323562237552, 7.491240124752541]"
3,5,3,0.01509336996594715,0.01509336996594715,6.278841905834014,6.278841905834014,"[0.015179245762752817, 0.006752727799546523, 0.011934607475080048]","[0.015179245762752817, 0.006752727799546523, 0.011934607475080048]","[6.314566237305172, 2.8091347646113536, 4.9647967096333]","[6.314566237305172, 2.8091347646113536, 4.9647967096333]"
4,5,4,0.011011267663923673,0.011011267663923673,4.580687348192248,4.580687348192248,"[0.013783541645382792, 0.006089152557673102, 0.007847296178147197]","[0.013783541645382792, 0.006089152557673102, 0.007847296178147197]","[5.733953324479241, 2.5330874639920102, 3.264475210109234]","[5.733953324479241, 2.5330874639920102, 3.264475210109234]"
5,5,5,0.01497558655730406,0.01497558655730406,6.229844007838489,6.229844007838489,"[0.012709677593020266, 0.008662835771784639, 0.009755677418115335]","[0.012709677593020266, 0.008662835771784639, 0.009755677418115335]","[5.287225878696431, 3.6037396810624096, 4.058361805935979]","[5.287225878696431, 3.6037396810624096, 4.058361805935979]"
6,3,5,0.024679696433626074,0.014807817860175645,10.266753716388447,6.160052229833068,"[0.029905886966462306, 0.010890191054798324, 0.019894986048426697]","[0.01794353217987738, 0.006534114632878991, 0.011936991629056013]","[12.440848978048319, 4.530319478796103, 8.276314196145506]","[7.46450938682899, 2.71819168727766, 4.965788517687302]"
7,3,3,0.028629111470307948,0.017177466882184775,11.881081260177798,7.128648756106682,"[0.03557933151188251, 0.023222651681160902, 0.01410394242181854]","[0.021347598907129513, 0.013933591008696553, 0.008462365453091135]","[14.765422577431242, 9.637400447681774, 5.853136105054694]","[8.859253546458747, 5.7824402686090695, 3.511881663032821]"
8,3,4,0.025552434252127495,0.015331460551276491,10.60426021463291,6.362556128779744,"[0.035982147523842975, 0.01473611531875895, 0.018630076251950293]","[0.021589288514305787, 0.008841669191255378, 0.011178045751170162]","[14.932591222394835, 6.115487857284965, 7.731481644559372]","[8.959554733436901, 3.669292714370982, 4.638888986735617]"
9,3,1,0.027728527416147754,0.01663711644968865,11.535067405117466,6.921040443070479,"[0.021251030154513097, 0.021999343747662017, 0.014288970419329593]","[0.012750618092707845, 0.013199606248597222, 0.008573382251597749]","[8.840428544277449, 9.1517269990274, 5.944211694441111]","[5.304257126566464, 5.4910361994164445, 3.566527016664663]"
10,3,2,0.031654270641606565,0.018992562384963937,13.16817658690833,7.900905952144997,"[0.04637791021536302, 0.020767595412742798, 0.020426173444352012]","[0.02782674612921782, 0.012460557247645694, 0.012255704066611198]","[19.293210649591018, 8.639319691701004, 8.497288152850437]","[11.575926389754613, 5.183591815020609, 5.098372891710259]"
