trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.02721243053507061,0.02230948571009693,0.02721243053507061,11.320371102589373,9.280746055400323,11.320371102589373,"[0.01770312332053807, 0.013601418113581962, 0.021848625239589962]","[0.0, 0.0, 0.02230948571009693]","[0.01770312332053807, 0.013601418113581962, 0.021848625239589962]","[7.364499301343837, 5.658189935250096, 9.089028099669424]","[0.0, 0.0, 9.280746055400323]","[7.364499301343837, 5.658189935250096, 9.089028099669424]"
2,5,2,0.015313079583861954,0.025249762842388262,0.015313079583861954,6.3702411068865725,10.503901342433517,6.3702411068865725,"[0.017215710869365932, 0.00786830139711439, 0.011735348646318373]","[0.0, 0.0, 0.025249762842388262]","[0.017215710869365932, 0.00786830139711439, 0.011735348646318373]","[7.161735721656228, 3.273213381199586, 4.881905036868443]","[0.0, 0.0, 10.503901342433517]","[7.161735721656228, 3.273213381199586, 4.881905036868443]"
3,5,3,0.012264214841210793,0.022774016811153555,0.012264214841210793,5.10191337394369,9.473990993439878,5.10191337394369,"[0.015004186795480368, 0.006899954412378062, 0.00849322328619348]","[0.0, 0.0, 0.022774016811153555]","[0.015004186795480368, 0.006899954412378062, 0.00849322328619348]","[6.241741706919833, 2.870381035549274, 3.5331808870564876]","[0.0, 0.0, 9.473990993439878]","[6.241741706919833, 2.870381035549274, 3.5331808870564876]"
4,5,4,0.010896402498152614,0.024476038639773837,0.010896402498152614,4.522007036733335,10.157556035506142,4.522007036733335,"[0.009174933353042732, 0.007371887223004918, 0.006522420745798599]","[0.0, 0.0, 0.024476038639773837]","[0.009174933353042732, 0.007371887223004918, 0.006522420745798599]","[3.807597341512734, 3.059333197547041, 2.7068046095064187]","[0.0, 0.0, 10.157556035506142]","[3.807597341512734, 3.059333197547041, 2.7068046095064187]"
5,5,5,0.012526984970394665,0.022981845269484304,0.012526984970394665,5.211225747684181,9.56044763210547,5.211225747684181,"[0.014628592547796502, 0.008712144796841997, 0.00688285547166236]","[0.0, 0.0, 0.022981845269484304]","[0.014628592547796502, 0.008712144796841997, 0.00688285547166236]","[6.085494499883345, 3.6242522354862707, 2.863267876211542]","[0.0, 0.0, 9.56044763210547]","[6.085494499883345, 3.6242522354862707, 2.863267876211542]"
6,3,1,0.01723668547643743,0.02230948571009693,0.011774106673986436,7.170461158197971,9.280746055400323,4.898028376378357,"[0.011615928226878488, 0.012053076389015049, 0.011111839888846146]","[0.0, 0.0, 0.02230948571009693]","[0.006969556936127096, 0.007231845833409032, 0.008359597138198173]","[4.832226142381451, 5.01407977783026, 4.622525393759997]","[0.0, 0.0, 9.280746055400323]","[2.899335685428872, 3.008447866698157, 3.47759240949044]"
7,3,5,0.02069124202571415,0.022981845269484304,0.012776283982643154,8.607556682697087,9.56044763210547,5.314934136779552,"[0.007769301451319159, 0.011800459313994472, 0.015010858554751899]","[0.0, 0.0, 0.022981845269484304]","[0.004661580870791494, 0.007080275588396688, 0.009557085223595604]","[3.2320294037487702, 4.9089910746217, 6.24451715877679]","[0.0, 0.0, 9.56044763210547]","[1.9392176422492613, 2.945394644773022, 3.975747453015771]"
8,3,3,0.019432694381888327,0.022774016811153555,0.01289913981483575,8.084000862865544,9.473990993439878,5.366042162971672,"[0.013129360729003673, 0.009379702001955934, 0.015626821329991925]","[0.0, 0.0, 0.022774016811153555]","[0.007877616437402198, 0.0056278212011735594, 0.01031191859803098]","[5.461814063265528, 3.9019560328136684, 6.500757673276641]","[0.0, 0.0, 9.473990993439878]","[3.277088437959314, 2.3411736196882007, 4.289758136780888]"
9,3,4,0.016856408025001293,0.024430745429344737,0.011743854719133258,7.012265738400538,10.16319009860741,4.885443563159435,"[0.01652262608897785, 0.007274323971888832, 0.013488974120576959]","[0.0, 0.0, 0.024430745429344737]","[0.009913575653386703, 0.004364594383133296, 0.009877660233453]","[6.873412453014786, 3.026118772305754, 5.611413234160015]","[0.0, 0.0, 10.16319009860741]","[4.124047471808868, 1.8156712633834513, 4.109106657116448]"
10,3,2,0.017188994603268587,0.025249762842388262,0.011682399458222555,7.150621754959732,10.503901342433517,4.859878174620583,"[0.014273135471956232, 0.00657316092693682, 0.014149484569262231]","[0.0, 0.0, 0.025249762842388262]","[0.008563881283173737, 0.0039438965561620935, 0.010007895455495288]","[5.937624356333792, 2.734434945605717, 5.8861855808130885]","[0.0, 0.0, 10.503901342433517]","[3.5625746138002743, 1.640660967363431, 4.16328450948604]"
